Location_Latitude,Location_Longitude,input_location,new_id
37.813677,-122.273417,"37.8137373, -122.2731077",554.0
37.813653,-122.273468,"37.8137373, -122.2731077",555.0
37.813633,-122.273498,"37.8137373, -122.2731077",556.0
37.820012,-122.291593,"37.8198293, -122.2914637",557.0
37.819942,-122.291622,"37.8198293, -122.2914637",558.0
37.819947,-122.291633,"37.8198293, -122.2914637",559.0
37.81994,-122.291622,"37.8198293, -122.2914637",560.0
37.819852,-122.291633,"37.8198293, -122.2914637",561.0
37.813645,-122.273213,"37.8136279, -122.2729883",562.0
,,"37.8136279, -122.2729883",563.0
,,"37.8136279, -122.2729883",564.0
,,"37.8136279, -122.2729883",565.0
,,"37.8136279, -122.2729883",566.0
,,"37.8136279, -122.2729883",567.0
,,"37.8136279, -122.2729883",568.0
,,"37.8087016, -122.2710578",569.0
37.813723,-122.273385,"37.8087016, -122.2710578",570.0
,,"37.8197242, -122.2913219",571.0
,,"37.8197242, -122.2913219",572.0
,,"37.8200467, -122.2923435",573.0
,,"37.8599110, -122.2953324",574.0
37.791803,-122.256148,"37.7907609, -122.2473420",575.0
37.78489,-122.227515,"37.7846739, -122.2276513",576.0
37.784772,-122.227557,"37.7846739, -122.2276513",577.0
37.826907,-122.2672,"37.8268438, -122.2673563",578.0
37.827308,-122.267145,"37.8268438, -122.2673563",579.0
37.827172,-122.268083,"37.8268438, -122.2673563",580.0
37.827175,-122.268082,"37.8268438, -122.2673563",581.0
37.784707,-122.412028,Taylor and ellis corner in san francisco,582.0
37.784718,-122.412028,Ellis and Jones in San franciaco on a bench,583.0
37.78473,-122.41203,Ellis and jones in san francisco,584.0
37.784705,-122.412029,391 Ellis in san francisco,585.0
37.784707,-122.412031,Ellis and taylor street in san francisco,586.0
37.784698,-122.412021,Eddy and taylor in san francisco,587.0
37.768903,-122.456532,"37.688940, -122.4566090",588.0
37.768993,-122.456625,"37.688940, -122.4566090",589.0
37.784721,-122.412036,"Near 361-353 Ellis St, San Francisco, CA 94102",590.0
37.784707,-122.41203,"27-9 Oak St, San Francisco, CA 94102",591.0
37.78471,-122.412029,"Near 399-391 Eddy St, San Francisco, CA 94102",592.0
37.784711,-122.412042,"357 Ellis St, San Francisco, CA 94102",593.0
37.784709,-122.412028,"801 Ellis St, San Francisco, CA 94109",594.0
37.847883,-122.252407,"5951 college ave, oakland",595.0
37.847852,-122.252432,"Near united presbertarian church in Oakland, CA",596.0
37.847703,-122.252303,,597.0
37.8479,-122.252238,,598.0
37.847928,-122.252268,,599.0
37.850588,-122.251378,6320 claremont ave oakland ca,600.0
37.850273,-122.252133,5341 miles ave oakland,601.0
37.82532,-122.274588,36th and west street i. Oakland,602.0
37.824353,-122.269932,Maetin luther king and 35th in oakland,603.0
37.823978,-122.26982,Martin luther king and 34th in oakland,604.0
37.823632,-122.269947,Martin luther king and 34th in parl in oakland,605.0
