new_id,Response_ID,Recorded_Date,Location_Latitude,Location_Longitude,input_location,input_category,input_lat,input_lon,distance_m,best_lat,best_lon,sweep,gender,age,race_White,race_Hispanic,race_Black,race_Asian,race_American_Indian,last_30_noshelter,_3year_noshelter,Rank___Level_of_privacy,Rank___Length_allowed_to_stay,Rank___Security_Guards,Rank___Case_Management,Rank___Close_to_transit,Rank___Proximity_to_where_you_st,Rank___Substance_Use_Policy,Rank___Participation_in_rule_mak,Rank___Curfew_Policy,Rank___Pet_Policy,Rank___Partners_Policy,Rank___How_Clean_it_is,Preferred_B1Q1,Preferred_B1Q2,Preferred_B1Q3,Preferred_B1Q4,Preferred_B2Q1,Preferred_B2Q2,Preferred_B2Q3,Preferred_B2Q4,Preferred_B3Q1,Preferred_B3Q2,Preferred_B3Q3,Preferred_B3Q4,Outside_Option_B1Q1,Outside_Option_B1Q2,Outside_Option_B1Q3,Outside_Option_B1Q4,Outside_Option_B2Q1,Outside_Option_B2Q2,Outside_Option_B2Q3,Outside_Option_B2Q4,Outside_Option_B3Q1,Outside_Option_B3Q2,Outside_Option_B3Q3,Outside_Option_B3Q4,trigger___Selected_Choice_Family,trigger___Selected_Choice_Chose_,trigger___Selected_Choice_Divorc,trigger___Selected_Choice_Could_,trigger___Selected_Choice_Rent_i,trigger___Selected_Choice_Evicti,trigger___Selected_Choice_Releas,trigger___Selected_Choice_Other_,trigger___Other__Specify____Text
158,R_8W997tFbt5SoI8B,2025-07-14 11:53:06,37.954677,-122.363182,,missing,,,,37.954677,-122.363182,1.0,Male,50.0,,Hispanic,,,,No Shelter/Outside,No Shelter/Outside,3,5,8,4,2,1,12,11,10,9,6,7,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
159,R_0mZx0ftomVfY5iU,2025-07-14 11:53:07,37.95482,-122.36417,North richmond,area_vague,,,,37.95482,-122.36417,1.0,Male,36.0,,Hispanic,,,,,,5,12,2,6,7,3,9,11,4,8,10,1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
160,R_2h3gPjV5JXwcoyx,2025-07-14 11:53:08,37.972433,-122.342548,Sanpabl0,area_vague,,,,37.972433,-122.342548,1.0,Male,,,Hispanic,,,,,,5,11,6,7,3,9,2,1,4,8,12,10,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
161,R_c2wp2wuVVmzrcP8,2025-07-14 11:53:10,37.972408,-122.342535,,missing,,,,37.972408,-122.342535,1.0,Male,43.0,,Hispanic,,,,,,,,,,,,,,,,,,,,,,,,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
162,R_ogJ1X5qsYQcERdy,2025-07-14 16:02:59,37.785757,-122.416252,"37.7845130, -122.4176435",coord_decimal,37.784513,-122.4176435,184.6,37.785757,-122.416252,0.0,Male,31.0,White,,,,,No Shelter/Outside,,4,5,9,2,8,11,6,10,3,12,1,7,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
163,R_fAwQDU9JDgz3dIT,2025-07-14 16:03:01,37.78547,-122.41648,"37.7834333, -122.4174135",coord_decimal,37.7834333,-122.4174135,240.9,37.78547,-122.41648,1.0,Male,43.0,,,Black,,,,,10,9,7,5,6,8,2,12,3,11,1,4,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,Could not pay rent,,,,,
164,R_0UAGKPepytkLaKt,2025-07-14 16:03:02,37.785425,-122.416473,"37.7834333, -122.4174135",coord_decimal,37.7834333,-122.4174135,236.4,37.785425,-122.416473,1.0,Female,37.0,,Hispanic,,,,,,2,5,10,4,9,7,11,8,1,12,3,6,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
165,R_a8KwEBFc7qTw0by,2025-07-14 16:03:03,37.785312,-122.416483,"37.7834333, -122.4174135",coord_decimal,37.7834333,-122.4174135,224.3,37.785312,-122.416483,1.0,Male,53.0,White,,,,,,,6,5,7,1,4,9,2,8,10,12,11,3,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,Divorce/breakup,,,,,,
166,R_mseciHswruWHsio,2025-07-14 16:03:04,37.785333,-122.416503,"37.7834333, -122.4174135",coord_decimal,37.7834333,-122.4174135,225.9,37.785333,-122.416503,1.0,Male,34.0,,,,,American Indian,,,3,5,6,4,2,8,9,12,10,11,1,7,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,Other (Specify),Jail
167,R_jmFxrdZdCJjREbs,2025-07-14 16:03:05,37.784997,-122.416272,"37.7826044, -122.4173921",coord_decimal,37.7826044,-122.4173921,283.7,37.784997,-122.416272,1.0,Female,34.0,White,,,,,,,4,7,10,12,8,9,6,3,11,2,1,5,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,,,Divorce/breakup,,,,,,
168,R_jzzhkTLJO31ja45,2025-07-14 16:03:06,37.784998,-122.416017,"37.7826044, -122.4173921",coord_decimal,37.7826044,-122.4173921,292.3,37.784998,-122.416017,1.0,Female,38.0,White,,,,,,,5,2,3,4,9,8,1,10,6,12,11,7,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,Could not pay rent,,,,,
169,R_bEYfqeHzpvEEhGS,2025-07-14 16:03:07,37.78438,-122.416352,"37.7826044, -122.4173921",coord_decimal,37.7826044,-122.4173921,217.6,37.78438,-122.416352,1.0,Male,61.0,,,Black,,,,,8,3,2,4,5,12,9,6,7,11,10,1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Put in jail
170,R_kqcsclWsWinqwXr,2025-07-14 16:03:08,37.784058,-122.415942,"37.7821868, -122.4172466",coord_decimal,37.7821868,-122.4172466,237.6,37.784058,-122.415942,1.0,Male,60.0,,,Black,,,,,7,2,5,1,6,3,10,4,9,12,11,8,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
171,R_mkL6ICoEYjOpFrY,2025-07-14 16:03:09,37.78411,-122.41584,"37.7821868, -122.4172466",coord_decimal,37.7821868,-122.4172466,247.0,37.78411,-122.41584,1.0,Male,33.0,White,,,,,,,3,5,9,8,7,12,2,6,1,11,10,4,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,,,,,Other (Specify),Chose to leave
172,R_6vNC3yhCPGs6Vsp,2025-07-14 16:03:10,37.783992,-122.415853,"37.7820442, -122.4172194",coord_decimal,37.7820442,-122.4172194,247.6,37.783992,-122.415853,1.0,Female,21.0,White,Hispanic,,,,,,4,2,10,9,6,12,1,8,11,5,3,7,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
173,R_mvCknk3lXj80RDL,2025-07-15 17:28:04,37.781487,-122.416998,"37.7813786, -122.4175456",coord_decimal,37.7813786,-122.4175456,49.6,37.781487,-122.416998,1.0,Male,40.0,White,,,,,,,6,4,10,3,8,9,2,7,1,12,11,5,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,Other (Specify),Went to jail
174,R_oxLc1xu5xcWsVUk,2025-07-15 17:28:05,37.781933,-122.413892,"37.7817591, -122.4144185",coord_decimal,37.7817591,-122.4144185,50.1,37.781933,-122.413892,1.0,Female,47.0,White,,,,,,,5,1,3,12,6,8,10,9,4,11,7,2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
175,R_no0PtUucHM51uTC,2025-07-15 17:28:07,37.781915,-122.414025,"37.7817591, -122.4144185",coord_decimal,37.7817591,-122.4144185,38.7,37.781915,-122.414025,1.0,Male,30.0,,,Black,,,,,4,3,1,5,9,10,2,11,7,12,8,6,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
176,R_mZI1pYPhnuIqbOr,2025-07-15 17:28:08,37.781998,-122.414098,"37.7880300, -122.4023134",coord_decimal,37.78803,-122.4023134,1233.8,37.781998,-122.414098,1.0,Male,35.0,White,,,,,,,6,5,9,1,3,12,11,4,10,7,8,2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
177,R_nUPqbqqwiX5i0eF,2025-07-15 17:28:09,37.78187,-122.41375,"37.7814573, -122.4152460",coord_decimal,37.7814573,-122.415246,139.3,37.78187,-122.41375,1.0,Female,25.0,White,,,,,,,5,2,6,3,7,11,10,8,9,12,1,4,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,Eviction,,,
178,R_lB7b0c25pxcKkM1,2025-07-15 17:28:10,37.781957,-122.413928,"37.7814573, -122.4152460",coord_decimal,37.7814573,-122.415246,128.5,37.781957,-122.413928,1.0,Male,33.0,White,,,,,,,5,2,10,4,6,11,7,8,9,12,1,3,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,Eviction,,,
179,R_hiNrCmNEDTMwB2T,2025-07-15 17:28:11,37.781933,-122.413805,"37.7814573, -122.4152460",coord_decimal,37.7814573,-122.415246,137.2,37.781933,-122.413805,1.0,Male,47.0,White,,,,,,,3,10,2,1,8,5,9,7,6,12,11,4,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
180,R_8ETrjusbI92ktgW,2025-07-15 17:28:12,37.781933,-122.413928,"37.7814573, -122.4152460",coord_decimal,37.7814573,-122.415246,127.3,37.781933,-122.413928,1.0,Male,52.0,White,,,,,,,9,7,5,4,3,1,2,8,12,10,11,6,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,Other (Specify),Landlord sold property
181,R_5gsmnW6klfYR5WK,2025-07-15 17:28:13,37.781932,-122.413908,"37.7815262, -122.4107211",coord_decimal,37.7815262,-122.4107211,283.7,37.781932,-122.413908,1.0,Male,35.0,,,Black,,,,,9,7,5,3,8,4,1,12,2,11,10,6,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
182,R_jRYwo3CqS0axoRo,2025-07-16 14:35:00,37.782002,-122.41264,"37.7820032, -122.4115894",coord_decimal,37.7820032,-122.4115894,92.3,37.782002,-122.41264,1.0,Male,53.0,White,,,,,,,3,7,5,4,9,11,2,8,1,10,12,6,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,Eviction,,,
183,R_hbE8cGkJFFsam5e,2025-07-16 14:35:01,37.782247,-122.414113,"37.7826653, -122.4138650",coord_decimal,37.7826653,-122.413865,51.4,37.782247,-122.414113,1.0,Male,61.0,,,Black,,,,,5,2,3,4,8,7,6,12,9,11,10,1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Didnt wantto live there anymore
184,R_8IbgepgsZT3WDBd,2025-07-16 14:35:02,37.78169,-122.412128,"37.7814067, -122.4120270",coord_decimal,37.7814067,-122.412027,32.7,37.78169,-122.412128,1.0,Female,28.0,White,,,,,,,5,4,6,3,7,11,10,12,8,1,9,2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
185,R_fQb8kBWWA16msWP,2025-07-16 14:35:03,37.780345,-122.413787,"37.7812895, -122.4113806",coord_decimal,37.7812895,-122.4113806,236.1,37.780345,-122.413787,1.0,Female,37.0,White,,,,,,,5,4,8,2,11,12,10,9,7,1,6,3,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,Chose to leave due to issues with family/friend/roommate,,,,,,,
186,R_kyaEmYpn8DwAi44,2025-07-16 17:31:28,37.782023,-122.413917,"37.7818733, -122.4132477",coord_decimal,37.7818733,-122.4132477,61.1,37.782023,-122.413917,0.0,Male,42.0,,,Black,,,,,3,2,9,4,5,12,7,11,8,10,6,1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Released from jail/prison,,
187,R_0QQ8K4dyRwl5Mlr,2025-07-16 17:31:29,37.782047,-122.41384,"37.7768085, -122.4151186",coord_decimal,37.7768085,-122.4151186,593.2,37.782047,-122.41384,0.0,Female,37.0,,,Black,,,No Shelter/Outside,,6,4,2,1,7,8,10,5,9,12,11,3,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
188,R_k1Ip8kXZxfva3Zl,2025-07-16 17:31:30,37.782023,-122.41386,"37.7816902, -122.4146753",coord_decimal,37.7816902,-122.4146753,80.6,37.782023,-122.41386,1.0,Male,52.0,,,Black,,,,,10,5,3,2,6,4,9,7,8,12,11,1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
189,R_2rLkx938HnV7wq9,2025-07-16 17:31:31,37.781978,-122.413863,"37.7760426, -122.4145301",coord_decimal,37.7760426,-122.4145301,662.6,37.781978,-122.413863,0.0,Female,47.0,,,Black,,,No Shelter/Outside,,6,5,2,3,8,10,1,7,9,12,11,4,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,Divorce/breakup,,,,,,
190,R_7SfOholwrQmERtJ,2025-07-16 17:31:32,37.781998,-122.41386,"37.7818349, -122.4143588",coord_decimal,37.7818349,-122.4143588,47.4,37.781998,-122.41386,0.0,Male,46.0,,,Black,,,,,6,8,11,3,5,10,7,9,2,1,12,4,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,,,Eviction,,,
191,R_4ZamD9URFNLtSwa,2025-07-16 17:31:33,37.782,-122.413822,"37.7818349, -122.4143588",coord_decimal,37.7818349,-122.4143588,50.6,37.782,-122.413822,1.0,Male,42.0,,,Black,,,,,5,4,1,2,9,11,10,6,8,12,7,3,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
192,R_82hqfTngshsLJbs,2025-07-16 17:31:34,37.781842,-122.413963,"37.7818349, -122.4143588",coord_decimal,37.7818349,-122.4143588,34.8,37.781842,-122.413963,1.0,Female,40.0,White,,,,,No Shelter/Outside,,8,1,3,5,4,9,12,7,10,11,6,2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,Could not pay rent,,,,,
193,R_kwLKkDxk1SiNezB,2025-07-17 11:42:51,37.923318,-122.362052,Meeker ave,address,37.9197518,-122.3492404,1191.7,37.923318,-122.362052,1.0,Male,35.0,,Hispanic,,,,,No Shelter/Outside,8,6,12,5,2,9,1,4,10,3,7,11,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,,,,,
194,R_gWMN1szTunzJTZn,2025-07-17 11:42:52,37.924367,-122.362108,Meeker,address,37.912903,-122.3382429,2451.0,37.924367,-122.362108,1.0,Non-Binary/Other,26.0,,,,Asian,,,,1,4,8,9,5,6,11,7,12,3,10,2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
195,R_4LYMbMaAVd5G3o0,2025-07-17 11:42:55,37.92433,-122.362127,,missing,,,,37.92433,-122.362127,1.0,Female,26.0,,Hispanic,,,,No Shelter/Outside,No Shelter/Outside,1,4,11,9,6,2,7,5,10,8,12,3,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,Could not pay rent,,,,,
196,R_hwD6fT6UMgnDByI,2025-07-17 11:42:56,37.931268,-122.364827,,missing,,,,37.931268,-122.364827,0.0,Male,42.0,,,,,,,,5,9,2,7,4,12,11,8,3,10,6,1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,Rent increase,,,,
197,R_n8ggOri6tV6lzdF,2025-07-17 11:42:57,37.931333,-122.362537,8thstreet,area_vague,,,,37.931333,-122.362537,1.0,Male,57.0,,,Black,,,,,1,7,9,8,6,5,10,12,11,4,3,2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
198,R_mQwmP3bd6IrlMCr,2025-07-17 11:42:58,37.934915,-122.361677,,missing,,,,37.934915,-122.361677,0.0,Male,35.0,,Hispanic,,,,,,11,1,12,2,3,4,10,8,7,9,6,5,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,,,Divorce/breakup,,,,,,
199,R_0SwCRiwHePpz7Z8,2025-07-17 11:42:59,37.934918,-122.361713,,missing,,,,37.934918,-122.361713,1.0,Male,69.0,,Hispanic,,,,,,5,12,2,3,6,10,9,7,11,4,8,1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,,,,,Rent increase,,,,
200,R_hE7UIG7Xj1fVaIY,2025-07-17 11:43:00,37.934958,-122.361693,,missing,,,,37.934958,-122.361693,1.0,Male,50.0,,,,Asian,,,,4,10,8,6,3,9,5,7,2,12,11,1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,,Chose to leave due to issues with family/friend/roommate,,,,,,,
201,R_3PTbQ17i6mkS6fS,2025-07-17 11:43:01,37.934913,-122.361703,,missing,,,,37.934913,-122.361703,1.0,Female,34.0,,,,Asian,,,No Shelter/Outside,4,12,10,5,1,6,11,7,8,3,2,9,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,Could not pay rent,,,,,
202,R_fQ1H1XQVAsVmAHt,2025-07-17 11:43:02,37.93491,-122.361712,,missing,,,,37.93491,-122.361712,1.0,Male,36.0,,Hispanic,,,,,,10,1,12,8,6,3,7,5,2,9,4,11,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
203,R_c3J3eCmpkU6dDs2,2025-07-17 11:43:03,37.944342,-122.349562,23rdst,area_vague,,,,37.944342,-122.349562,1.0,Non-Binary/Other,38.0,,Hispanic,,,,,No Shelter/Outside,1,5,12,7,8,9,11,3,4,10,6,2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Released from jail/prison,,
