new_id,Response_ID,Recorded_Date,best_lat,best_lon,input_category,distance_m,sweep,gender,age,race_White,race_Hispanic,race_Black,last_30_noshelter,_3year_noshelter,sweeps_100m,closures_100m,sweeps_200m,closures_200m,shelter_aversion_score,top_shelter_attribute,Rank___Level_of_privacy,Rank___Length_allowed_to_stay,Rank___Security_Guards,Rank___Case_Management,Rank___Close_to_transit,Rank___Proximity_to_where_you_st,Rank___Substance_Use_Policy,Rank___Participation_in_rule_mak,Rank___Curfew_Policy,Rank___Pet_Policy,Rank___Partners_Policy,Rank___How_Clean_it_is,Preferred_B1Q1,Preferred_B1Q2,Preferred_B1Q3,Preferred_B1Q4,Preferred_B2Q1,Preferred_B2Q2,Preferred_B2Q3,Preferred_B2Q4,Preferred_B3Q1,Preferred_B3Q2,Preferred_B3Q3,Preferred_B3Q4,Outside_Option_B1Q1,Outside_Option_B1Q2,Outside_Option_B1Q3,Outside_Option_B1Q4,Outside_Option_B2Q1,Outside_Option_B2Q2,Outside_Option_B2Q3,Outside_Option_B2Q4,Outside_Option_B3Q1,Outside_Option_B3Q2,Outside_Option_B3Q3,Outside_Option_B3Q4,trigger___Selected_Choice_Family,trigger___Selected_Choice_Chose_,trigger___Selected_Choice_Divorc,trigger___Selected_Choice_Could_,trigger___Selected_Choice_Rent_i,trigger___Selected_Choice_Evicti,trigger___Selected_Choice_Releas,trigger___Selected_Choice_Other_,trigger___Other__Specify____Text
161,R_c2wp2wuVVmzrcP8,2025-07-14 11:53:10,37.972408,-122.342535,missing,,1.0,Male,43.0,,Hispanic,,,,0,0,0,0,0.4166666666666667,,,,,,,,,,,,,,,,,,,,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
162,R_ogJ1X5qsYQcERdy,2025-07-14 16:02:59,37.785757,-122.416252,coord_decimal,184.6,0.0,Male,31.0,White,,,No Shelter/Outside,,0,0,0,0,1.0,Partners Policy,4.0,5.0,9.0,2.0,8.0,11.0,6.0,10.0,3.0,12.0,1.0,7.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
163,R_fAwQDU9JDgz3dIT,2025-07-14 16:03:01,37.78547,-122.41648,coord_decimal,240.9,1.0,Male,43.0,,,Black,,,0,0,0,0,0.6666666666666666,Partners Policy,10.0,9.0,7.0,5.0,6.0,8.0,2.0,12.0,3.0,11.0,1.0,4.0,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,Could not pay rent,,,,,
164,R_0UAGKPepytkLaKt,2025-07-14 16:03:02,37.785425,-122.416473,coord_decimal,236.4,1.0,Female,37.0,,Hispanic,,,,0,0,0,0,0.5833333333333334,Curfew Policy,2.0,5.0,10.0,4.0,9.0,7.0,11.0,8.0,1.0,12.0,3.0,6.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
165,R_a8KwEBFc7qTw0by,2025-07-14 16:03:03,37.785312,-122.416483,coord_decimal,224.3,1.0,Male,53.0,White,,,,,0,0,0,0,0.5833333333333334,Case Management,6.0,5.0,7.0,1.0,4.0,9.0,2.0,8.0,10.0,12.0,11.0,3.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,Divorce/breakup,,,,,,
166,R_mseciHswruWHsio,2025-07-14 16:03:04,37.785333,-122.416503,coord_decimal,225.9,1.0,Male,34.0,,,,,,0,0,0,0,0.6666666666666666,Partners Policy,3.0,5.0,6.0,4.0,2.0,8.0,9.0,12.0,10.0,11.0,1.0,7.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,Other (Specify),Jail
167,R_jmFxrdZdCJjREbs,2025-07-14 16:03:05,37.784997,-122.416272,coord_decimal,283.7,1.0,Female,34.0,White,,,,,0,0,0,0,0.16666666666666666,Partners Policy,4.0,7.0,10.0,12.0,8.0,9.0,6.0,3.0,11.0,2.0,1.0,5.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,,,Divorce/breakup,,,,,,
168,R_jzzhkTLJO31ja45,2025-07-14 16:03:06,37.784998,-122.416017,coord_decimal,292.3,1.0,Female,38.0,White,,,,,0,0,0,0,0.5833333333333334,Substance Use Policy,5.0,2.0,3.0,4.0,9.0,8.0,1.0,10.0,6.0,12.0,11.0,7.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,Could not pay rent,,,,,
169,R_bEYfqeHzpvEEhGS,2025-07-14 16:03:07,37.78438,-122.416352,coord_decimal,217.6,1.0,Male,61.0,,,Black,,,0,0,0,0,1.0,How Clean it is,8.0,3.0,2.0,4.0,5.0,12.0,9.0,6.0,7.0,11.0,10.0,1.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Put in jail
170,R_kqcsclWsWinqwXr,2025-07-14 16:03:08,37.784058,-122.415942,coord_decimal,237.6,1.0,Male,60.0,,,Black,,,0,0,0,0,1.0,Case Management,7.0,2.0,5.0,1.0,6.0,3.0,10.0,4.0,9.0,12.0,11.0,8.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
171,R_mkL6ICoEYjOpFrY,2025-07-14 16:03:09,37.78411,-122.41584,coord_decimal,247.0,1.0,Male,33.0,White,,,,,0,0,0,0,0.4166666666666667,Curfew Policy,3.0,5.0,9.0,8.0,7.0,12.0,2.0,6.0,1.0,11.0,10.0,4.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,,,,,Other (Specify),Chose to leave
172,R_6vNC3yhCPGs6Vsp,2025-07-14 16:03:10,37.783992,-122.415853,coord_decimal,247.6,1.0,Female,21.0,White,Hispanic,,,,0,0,0,0,0.5,Substance Use Policy,4.0,2.0,10.0,9.0,6.0,12.0,1.0,8.0,11.0,5.0,3.0,7.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
173,R_mvCknk3lXj80RDL,2025-07-15 17:28:04,37.781487,-122.416998,coord_decimal,49.6,1.0,Male,40.0,White,,,,,0,0,0,0,0.75,Curfew Policy,6.0,4.0,10.0,3.0,8.0,9.0,2.0,7.0,1.0,12.0,11.0,5.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,Other (Specify),Went to jail
174,R_oxLc1xu5xcWsVUk,2025-07-15 17:28:05,37.781933,-122.413892,coord_decimal,50.1,1.0,Female,47.0,White,,,,,0,0,0,0,1.0,Length allowed to stay,5.0,1.0,3.0,12.0,6.0,8.0,10.0,9.0,4.0,11.0,7.0,2.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
175,R_no0PtUucHM51uTC,2025-07-15 17:28:07,37.781915,-122.414025,coord_decimal,38.7,1.0,Male,30.0,,,Black,,,0,0,0,0,0.75,Security Guards,4.0,3.0,1.0,5.0,9.0,10.0,2.0,11.0,7.0,12.0,8.0,6.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
176,R_mZI1pYPhnuIqbOr,2025-07-15 17:28:08,37.781998,-122.414098,coord_decimal,1233.8,1.0,Male,35.0,White,,,,,0,0,0,0,1.0,Case Management,6.0,5.0,9.0,1.0,3.0,12.0,11.0,4.0,10.0,7.0,8.0,2.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
177,R_nUPqbqqwiX5i0eF,2025-07-15 17:28:09,37.78187,-122.41375,coord_decimal,139.3,1.0,Female,25.0,White,,,,,0,0,0,0,0.6666666666666666,Partners Policy,5.0,2.0,6.0,3.0,7.0,11.0,10.0,8.0,9.0,12.0,1.0,4.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,Eviction,,,
178,R_lB7b0c25pxcKkM1,2025-07-15 17:28:10,37.781957,-122.413928,coord_decimal,128.5,1.0,Male,33.0,White,,,,,0,0,0,0,0.6666666666666666,Partners Policy,5.0,2.0,10.0,4.0,6.0,11.0,7.0,8.0,9.0,12.0,1.0,3.0,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,Eviction,,,
179,R_hiNrCmNEDTMwB2T,2025-07-15 17:28:11,37.781933,-122.413805,coord_decimal,137.2,1.0,Male,47.0,White,,,,,0,0,0,0,1.0,Case Management,3.0,10.0,2.0,1.0,8.0,5.0,9.0,7.0,6.0,12.0,11.0,4.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
180,R_8ETrjusbI92ktgW,2025-07-15 17:28:12,37.781933,-122.413928,coord_decimal,127.3,1.0,Male,52.0,White,,,,,0,0,0,0,0.8333333333333334,Proximity to where you st,9.0,7.0,5.0,4.0,3.0,1.0,2.0,8.0,12.0,10.0,11.0,6.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,Other (Specify),Landlord sold property
181,R_5gsmnW6klfYR5WK,2025-07-15 17:28:13,37.781932,-122.413908,coord_decimal,283.7,1.0,Male,35.0,,,Black,,,0,0,0,0,0.9166666666666666,Substance Use Policy,9.0,7.0,5.0,3.0,8.0,4.0,1.0,12.0,2.0,11.0,10.0,6.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
182,R_jRYwo3CqS0axoRo,2025-07-16 14:35:00,37.782002,-122.41264,coord_decimal,92.3,1.0,Male,53.0,White,,,,,0,0,0,0,0.08333333333333333,Curfew Policy,3.0,7.0,5.0,4.0,9.0,11.0,2.0,8.0,1.0,10.0,12.0,6.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,Eviction,,,
183,R_hbE8cGkJFFsam5e,2025-07-16 14:35:01,37.782247,-122.414113,coord_decimal,51.4,1.0,Male,61.0,,,Black,,,0,0,0,0,0.9166666666666666,How Clean it is,5.0,2.0,3.0,4.0,8.0,7.0,6.0,12.0,9.0,11.0,10.0,1.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),Didnt wantto live there anymore
184,R_8IbgepgsZT3WDBd,2025-07-16 14:35:02,37.78169,-122.412128,coord_decimal,32.7,1.0,Female,28.0,White,,,,,0,0,0,0,0.8333333333333334,Pet Policy,5.0,4.0,6.0,3.0,7.0,11.0,10.0,12.0,8.0,1.0,9.0,2.0,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
185,R_fQb8kBWWA16msWP,2025-07-16 14:35:03,37.780345,-122.413787,coord_decimal,236.1,1.0,Female,37.0,White,,,,,0,0,0,0,0.4166666666666667,Pet Policy,5.0,4.0,8.0,2.0,11.0,12.0,10.0,9.0,7.0,1.0,6.0,3.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,Chose to leave due to issues with family/friend/roommate,,,,,,,
186,R_kyaEmYpn8DwAi44,2025-07-16 17:31:28,37.782023,-122.413917,coord_decimal,61.1,0.0,Male,42.0,,,Black,,,0,0,0,0,1.0,How Clean it is,3.0,2.0,9.0,4.0,5.0,12.0,7.0,11.0,8.0,10.0,6.0,1.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Released from jail/prison,,
187,R_0QQ8K4dyRwl5Mlr,2025-07-16 17:31:29,37.782047,-122.41384,coord_decimal,593.2,0.0,Female,37.0,,,Black,No Shelter/Outside,,0,0,0,0,0.9166666666666666,Case Management,6.0,4.0,2.0,1.0,7.0,8.0,10.0,5.0,9.0,12.0,11.0,3.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
188,R_k1Ip8kXZxfva3Zl,2025-07-16 17:31:30,37.782023,-122.41386,coord_decimal,80.6,1.0,Male,52.0,,,Black,,,0,0,0,0,0.9166666666666666,How Clean it is,10.0,5.0,3.0,2.0,6.0,4.0,9.0,7.0,8.0,12.0,11.0,1.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
189,R_2rLkx938HnV7wq9,2025-07-16 17:31:31,37.781978,-122.413863,coord_decimal,662.6,0.0,Female,47.0,,,Black,No Shelter/Outside,,0,0,0,0,0.6666666666666666,Substance Use Policy,6.0,5.0,2.0,3.0,8.0,10.0,1.0,7.0,9.0,12.0,11.0,4.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,Divorce/breakup,,,,,,
190,R_7SfOholwrQmERtJ,2025-07-16 17:31:32,37.781998,-122.41386,coord_decimal,47.4,0.0,Male,46.0,,,Black,,,0,0,0,0,0.4166666666666667,Pet Policy,6.0,8.0,11.0,3.0,5.0,10.0,7.0,9.0,2.0,1.0,12.0,4.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,,,Eviction,,,
191,R_4ZamD9URFNLtSwa,2025-07-16 17:31:33,37.782,-122.413822,coord_decimal,50.6,1.0,Male,42.0,,,Black,,,0,0,0,0,1.0,Security Guards,5.0,4.0,1.0,2.0,9.0,11.0,10.0,6.0,8.0,12.0,7.0,3.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
192,R_82hqfTngshsLJbs,2025-07-16 17:31:34,37.781842,-122.413963,coord_decimal,34.8,1.0,Female,40.0,White,,,No Shelter/Outside,,0,0,0,0,0.75,Length allowed to stay,8.0,1.0,3.0,5.0,4.0,9.0,12.0,7.0,10.0,11.0,6.0,2.0,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,Could not pay rent,,,,,
193,R_kwLKkDxk1SiNezB,2025-07-17 11:42:51,37.923318,-122.362052,address,1191.7,1.0,Male,35.0,,Hispanic,,,No Shelter/Outside,0,0,0,0,1.0,Substance Use Policy,8.0,6.0,12.0,5.0,2.0,9.0,1.0,4.0,10.0,3.0,7.0,11.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Could not pay rent,,,,,
194,R_gWMN1szTunzJTZn,2025-07-17 11:42:52,37.924367,-122.362108,address,2451.0,1.0,Non-Binary/Other,26.0,,,,,,0,0,0,0,1.0,Level of privacy,1.0,4.0,8.0,9.0,5.0,6.0,11.0,7.0,12.0,3.0,10.0,2.0,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Eviction,,,
195,R_4LYMbMaAVd5G3o0,2025-07-17 11:42:55,37.92433,-122.362127,missing,,1.0,Female,26.0,,Hispanic,,No Shelter/Outside,No Shelter/Outside,0,0,0,0,0.08333333333333333,Level of privacy,1.0,4.0,11.0,9.0,6.0,2.0,7.0,5.0,10.0,8.0,12.0,3.0,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,Could not pay rent,,,,,
196,R_hwD6fT6UMgnDByI,2025-07-17 11:42:56,37.931268,-122.364827,missing,,0.0,Male,42.0,,,,,,0,0,0,0,0.6666666666666666,How Clean it is,5.0,9.0,2.0,7.0,4.0,12.0,11.0,8.0,3.0,10.0,6.0,1.0,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,Rent increase,,,,
197,R_n8ggOri6tV6lzdF,2025-07-17 11:42:57,37.931333,-122.362537,area_vague,,1.0,Male,57.0,,,Black,,,0,0,0,0,1.0,Level of privacy,1.0,7.0,9.0,8.0,6.0,5.0,10.0,12.0,11.0,4.0,3.0,2.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Divorce/breakup,,,,,,
198,R_mQwmP3bd6IrlMCr,2025-07-17 11:42:58,37.934915,-122.361677,missing,,0.0,Male,35.0,,Hispanic,,,,0,0,0,0,0.5833333333333334,Length allowed to stay,11.0,1.0,12.0,2.0,3.0,4.0,10.0,8.0,7.0,9.0,6.0,5.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,,,Divorce/breakup,,,,,,
199,R_0SwCRiwHePpz7Z8,2025-07-17 11:42:59,37.934918,-122.361713,missing,,1.0,Male,69.0,,Hispanic,,,,0,0,0,0,0.6666666666666666,How Clean it is,5.0,12.0,2.0,3.0,6.0,10.0,9.0,7.0,11.0,4.0,8.0,1.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,,,,,Rent increase,,,,
200,R_hE7UIG7Xj1fVaIY,2025-07-17 11:43:00,37.934958,-122.361693,missing,,1.0,Male,50.0,,,,,,0,0,0,0,0.75,How Clean it is,4.0,10.0,8.0,6.0,3.0,9.0,5.0,7.0,2.0,12.0,11.0,1.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,,Chose to leave due to issues with family/friend/roommate,,,,,,,
201,R_3PTbQ17i6mkS6fS,2025-07-17 11:43:01,37.934913,-122.361703,missing,,1.0,Female,34.0,,,,,No Shelter/Outside,0,0,0,0,0.75,Close to transit,4.0,12.0,10.0,5.0,1.0,6.0,11.0,7.0,8.0,3.0,2.0,9.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,Could not pay rent,,,,,
202,R_fQ1H1XQVAsVmAHt,2025-07-17 11:43:02,37.93491,-122.361712,missing,,1.0,Male,36.0,,Hispanic,,,,0,0,0,0,0.5,Length allowed to stay,10.0,1.0,12.0,8.0,6.0,3.0,7.0,5.0,2.0,9.0,4.0,11.0,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
203,R_c3J3eCmpkU6dDs2,2025-07-17 11:43:03,37.944342,-122.349562,area_vague,,1.0,Non-Binary/Other,38.0,,Hispanic,,,No Shelter/Outside,0,0,0,0,1.0,Level of privacy,1.0,5.0,12.0,7.0,8.0,9.0,11.0,3.0,4.0,10.0,6.0,2.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Released from jail/prison,,
204,R_gzYnHpW1D65eIIE,2025-07-17 11:43:04,37.94425,-122.349597,junk,,1.0,Female,38.0,,Hispanic,,,No Shelter/Outside,0,0,0,0,1.0,Participation in rule mak,6.0,4.0,8.0,2.0,5.0,3.0,12.0,1.0,7.0,9.0,10.0,11.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Chose to leave due to issues with family/friend/roommate,,,,,,,
