location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,intervention_raw
23rd St between Northgate Ave and Telegraph Ave,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
23rd St between MLK to Northgate,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,Closure
27th St between MLK Jr Way and Northgate Ave,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"27th Street between Martin Luther King Jr Boulevard Jr Way and Northgate Avenue, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
MLK between 23rd & 24th,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 23rd & 24th, Oakland, CA",,,,Closure
MLK between 24th & 25th,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 24th & 25th, Oakland, CA",,,,Closure
MLK between 25th St & Sycamore St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 25th Street & Sycamore Street, Oakland, CA",,,,Closure
MLK between Sycamore St & 26th St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between Sycamore Street & 26th Street, Oakland, CA",,,,Closure
MLK between 26th St & 27th St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 26th Street & 27th Street, Oakland, CA",,,,Closure
Northgate Ave between W Grand Ave and 23rd St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between West Grand Avenue and 23rd Street, Oakland, CA",,,,Closure
Northgate Ave between 23rd St and 24th St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 23rd Street and 24th Street, Oakland, CA",,,,Closure
Northgate Ave between 24th St & 25th St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 24th Street & 25th Street, Oakland, CA",,,,Closure
Northgate Ave between 25th St & Sycamore St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 25th Street & Sycamore Street, Oakland, CA",,,,Closure
Northgate Ave between Sycamore St & 27th St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between Sycamore Street & 27th Street, Oakland, CA",,,,Closure
28th Street between Ettie and Mandela Parkway,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Deep Cleaning,,False,False,False,False,,intersection,"28th Street between Ettie and Mandela Parkway, Oakland, CA",,,,Deep Cleaning
28th St between Ettie St & Hannah St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Deep Cleaning,,False,False,False,False,,intersection,"28th Street between Ettie Street & Hannah Street, Oakland, CA",,,,Deep Cleaning
Ettie St b/t 28th St and 32nd St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Ettie Street b, Oakland, CA",,,,Closure
Telegraph Ave between 34th St and 36th St.,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,Deep Cleaning,True,False,False,False,,intersection,"Telegraph Avenue between 34th Street and 36th Street, Oakland, CA",,,,Closure & Deep Cleaning
West between 35th and 36th St,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West between 35th and 36th Street, Oakland, CA",,,,Closure
88th Ave Mini Park,D7,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,named_place,"88th Avenue Mini Park, Oakland, CA",,,,Closure
88th Ave between Birch St and Plymouth St,D7,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"88th Avenue between Birch Street and Plymouth Street, Oakland, CA",,,,Closure
27th St between Northgate Ave and Telegraph Ave,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"27th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
25th st between Northgate Ave and Telegraph Ave,D3,High,"September 15, 2025","September 19, 2025",2025-09-15,2025-09-19,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"25th st between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
Marston Campbell Park (KIPP School),D3,High,"September 11, 2025","September 12, 2025",2025-09-11,2025-09-12,1,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,named_place,"Marston Campbell Park (KIPP School), Oakland, CA",37.7999,-122.2257,known_place_lookup,Closure
Sycamore between Northgate and MLK,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Sycamore between Northgate and Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
W Grand Ave between Northgate Ave and Telegraph Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
W Grand Ave between MLK to Northgate,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,Closure
W Grand Ave between San Pablo Ave & MLK,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
MLK between Sycamore St & 26th St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between Sycamore Street & 26th Street, Oakland, CA",,,,Closure
MLK between 25th St & Sycamore St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 25th Street & Sycamore Street, Oakland, CA",,,,Closure
MLK between 24th & 25th,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 24th & 25th, Oakland, CA",,,,Closure
MLK between 23rd & 24th,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 23rd & 24th, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
27th St between MLK Jr Way and Northgate Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"27th Street between Martin Luther King Jr Boulevard Jr Way and Northgate Avenue, Oakland, CA",,,,Closure
23rd St between MLK to Northgate,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,Closure
23rd St between Northgate Ave and Telegraph Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
Northgate Ave between W Grand Ave and 23rd St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between West Grand Avenue and 23rd Street, Oakland, CA",,,,Closure
Northgate Ave between 23rd St and 24th St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 23rd Street and 24th Street, Oakland, CA",,,,Closure
Northgate Ave between 24th St & 25th St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 24th Street & 25th Street, Oakland, CA",,,,Closure
Northgate Ave between 25th St & Sycamore St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 25th Street & Sycamore Street, Oakland, CA",,,,Closure
Northgate Ave between Sycamore St & 27th St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between Sycamore Street & 27th Street, Oakland, CA",,,,Closure
27th St between Northgate Ave and Telegraph Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"27th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
24th St between Northgate Ave and Telegraph Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"24th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
25th st between Northgate Ave and Telegraph Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"25th st between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
Sycamore between Northgate Ave and Telegraph Ave,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Sycamore between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
Kirkham St between 5th & 7th St.,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Kirkham Street between 5th & 7th Street, Oakland, CA",,,,Closure
Union St between 5th St and 7th St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Union Street between 5th Street and 7th Street, Oakland, CA",,,,Closure
Goss St between Pine St and Wood St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Goss Street between Pine Street and Wood Street, Oakland, CA",,,,Closure
Pine St between 8th St and Goss St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pine Street between 8th Street and Goss Street, Oakland, CA",,,,Closure
Wood St between 7th St and Goss St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Wood Street between 7th Street and Goss Street, Oakland, CA",,,,Closure
7th St between Willow St and Wood St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"7th Street between Willow Street and Wood Street, Oakland, CA",,,,Closure
Adeline St & 3rd St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,named_place,"Adeline Street & 3rd Street, Oakland, CA",,,,Closure
5th St. between Mandela Pkwy & Union,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"5th Street. between Mandela Parkway & Union, Oakland, CA",,,,Closure
23rd St. between MLK and San Pablo,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,Closure
San Pablo Ave between W Grand Ave & MLK,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
MLK between 26th St & 27th St,D3,High,"September 08, 2025","September 12, 2025",2025-09-08,2025-09-12,4,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 26th Street & 27th Street, Oakland, CA",,,,Closure
MLK between 25th St & Sycamore St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 25th Street & Sycamore Street, Oakland, CA",,,,Closure
27th St between Northgate Ave and Telegraph Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"27th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
24th St between Northgate Ave and Telegraph Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"24th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
25th st between Northgate Ave and Telegraph Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"25th st between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
Sycamore between Northgate Ave and Telegraph Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Sycamore between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
W Grand Ave between San Pablo Ave & MLK,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
W Grand Ave between MLK to Northgate,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,Closure
W Grand Ave between Northgate Ave and Telegraph Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
Sycamore between Northgate and MLK,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Sycamore between Northgate and Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
San Pablo Ave between W Grand Ave & MLK,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
23rd St. between MLK and San Pablo,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,Closure
23rd St between Northgate Ave and Telegraph Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,Closure
23rd St between MLK to Northgate,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,Closure
27th St between MLK Jr Way and Northgate Ave,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"27th Street between Martin Luther King Jr Boulevard Jr Way and Northgate Avenue, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
MLK between 23rd & 24th,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 23rd & 24th, Oakland, CA",,,,Closure
MLK between 24th & 25th,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 24th & 25th, Oakland, CA",,,,Closure
MLK between Sycamore St & 26th St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between Sycamore Street & 26th Street, Oakland, CA",,,,Closure
MLK between 26th St & 27th St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between 26th Street & 27th Street, Oakland, CA",,,,Closure
Northgate Ave between W Grand Ave and 23rd St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between West Grand Avenue and 23rd Street, Oakland, CA",,,,Closure
Northgate Ave between 23rd St and 24th St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 23rd Street and 24th Street, Oakland, CA",,,,Closure
Northgate Ave between 24th St & 25th St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 24th Street & 25th Street, Oakland, CA",,,,Closure
Northgate Ave between 25th St & Sycamore St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between 25th Street & Sycamore Street, Oakland, CA",,,,Closure
Northgate Ave between Sycamore St & 27th St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Northgate Avenue between Sycamore Street & 27th Street, Oakland, CA",,,,Closure
83rd Ave between Holly St and International Blvd,D7,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"83rd Avenue between Holly Street and International Boulevard, Oakland, CA",,,,Closure
84th Ave between Holly St and International Blvd,D7,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"84th Avenue between Holly Street and International Boulevard, Oakland, CA",,,,Closure
85th Ave between Holly St and International Blvd,D7,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"85th Avenue between Holly Street and International Boulevard, Oakland, CA",,,,Closure
86th Ave between International and Holly St,D7,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"86th Avenue between International Boulevard and Holly Street, Oakland, CA",,,,Closure
87th Ave between Holly St and International Blvd,D7,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"87th Avenue between Holly Street and International Boulevard, Oakland, CA",,,,Closure
Kirkham St between 5th & 7th St.,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Kirkham Street between 5th & 7th Street, Oakland, CA",,,,Closure
Union St between 5th St and 7th St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Union Street between 5th Street and 7th Street, Oakland, CA",,,,Closure
Goss St between Pine St and Wood St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Goss Street between Pine Street and Wood Street, Oakland, CA",,,,Closure
Pine St between 8th St and Goss St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Pine Street between 8th Street and Goss Street, Oakland, CA",,,,Closure
Wood St between 7th St and Goss St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"Wood Street between 7th Street and Goss Street, Oakland, CA",,,,Closure
7th St between Willow St and Wood St,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"7th Street between Willow Street and Wood Street, Oakland, CA",,,,Closure
5th St. between Mandela Pkwy & Union,D3,High,"September 02, 2025","September 05, 2025",2025-09-02,2025-09-05,3,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,intersection,"5th Street. between Mandela Parkway & Union, Oakland, CA",,,,Closure
Broadway between Embarcadero West and 2nd St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Broadway between Embarcadero West and 2nd Street, Oakland, CA",,,,Closure
Broadway between 2nd St and 3rd St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Broadway between 2nd Street and 3rd Street, Oakland, CA",,,,Closure
Broadway between 3rd St & 4th St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Broadway between 3rd Street & 4th Street, Oakland, CA",,,,Closure
Franklin st between Embarcadero West and 2nd St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Franklin st between Embarcadero West and 2nd Street, Oakland, CA",,,,Closure
Franklin st between 2nd St and 3rd St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Franklin st between 2nd Street and 3rd Street, Oakland, CA",,,,Closure
Franklin st between 3rd St and 4th St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Franklin st between 3rd Street and 4th Street, Oakland, CA",,,,Closure
4th St between Clay St and Washington St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"4th Street between Clay Street and Washington Street, Oakland, CA",,,,Closure
4th St between Washington St & Broadway,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"4th Street between Washington Street & Broadway, Oakland, CA",,,,Closure
4th St between Broadway and Franklin St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"4th Street between Broadway and Franklin Street, Oakland, CA",,,,Closure
3rd St between Clay St and Washington St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"3rd Street between Clay Street and Washington Street, Oakland, CA",,,,Closure
3rd St between Washington St & Broadway,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"3rd Street between Washington Street & Broadway, Oakland, CA",,,,Closure
2nd St between Broadway and Franklin St,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"2nd Street between Broadway and Franklin Street, Oakland, CA",,,,Closure
2nd St between Washington St & Broadway,D3,High,"July 28, 2025","August 01, 2025",2025-07-28,2025-08-01,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"2nd Street between Washington Street & Broadway, Oakland, CA",,,,Closure
