location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
Poplar St between 24th St and 26th St,intersection,"Poplar Street between 24th Street and 26th Street, Oakland, CA",37.784576775000005,-122.35362542499999,overpass_midpoint,
Poplar St between 26th St and 28th St,intersection,"Poplar Street between 26th Street and 28th Street, Oakland, CA",37.802575375,-122.319402225,overpass_midpoint,
Poplar St between 28th St and 30th St,intersection,"Poplar Street between 28th Street and 30th Street, Oakland, CA",37.821856249999996,-122.28506425,overpass_midpoint,
Mandela Pkwy between 11th St and 12th St,intersection,"Mandela Parkway between 11th Street and 12th Street, Oakland, CA",37.80878075,-122.29233342500001,overpass_midpoint,
Lowell St between Stanford Ave and 61st Pl,intersection,"Lowell Street between Stanford Avenue and 61st Place, Oakland, CA",37.844149125,-122.27708365000001,overpass_midpoint,
26th St between Wood Stand Mandela Pkwy,intersection,"26th Street between Wood Stand Mandela Parkway, Oakland, CA",,,nominatim_no_result,nominatim_no_result
San Leandro St between 37th Ave and 38th Ave,intersection,"San Leandro Street between 37th Avenue and 38th Avenue, Oakland, CA",37.77293065,-122.2219761,overpass_midpoint,
Walter Ave between Clara St and S Elmhurst Ave,intersection,"Walter Avenue between Clara Street and South Elmhurst Avenue, Oakland, CA",37.73912315,-122.1851207,overpass_midpoint,
64th Ave between Brann St and Camden St,intersection,"64th Avenue between Brann Street and Camden Street, Oakland, CA",37.7719958,-122.182662,overpass_midpoint,
96th Ave between A St and International Blvd,intersection,"96th Avenue between A Street and International Boulevard, Oakland, CA",37.7453836,-122.172439125,overpass_midpoint,
MLK between Ninth St and 10th St,intersection,"Martin Luther King Jr Boulevard between Ninth Street and 10th Street, Oakland, CA",37.8034454,-122.2776965,overpass_endpoint_cross2,
Alameda Avenue between High St and E 8th St,intersection,"Alameda Avenue between High Street and E 8th Street, Oakland, CA",37.7680838,-122.22101415,overpass_midpoint,
Ruby St between 38th St ad W MacArthur Blvd,intersection,"Ruby Street between 38th Street ad West MacArthur Boulevard, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Dover street between 46th St. and 47th St.,intersection,"Dover street between 46th Street. and 47th Street, Oakland, CA",37.834290550000006,-122.26504075,overpass_midpoint,
33rd street between Market and West,intersection,"33rd street between Market and West, Oakland, CA",37.8236297,-122.27418685,overpass_midpoint,
42nd Avenue between E. 12th Street & International Blvd,intersection,"42nd Avenue between East 12th Street & International Boulevard, Oakland, CA",37.7724636625,-122.216692975,overpass_midpoint,
29th Avenue between E. 7th and Chapman,intersection,"29th Avenue between East 7th and Chapman, Oakland, CA",37.77422515,-122.23396675000001,overpass_midpoint,
6th Street between Harrison St and Alice St,intersection,"6th Street between Harrison Street and Alice Street, Oakland, CA",37.7922036,-122.303680575,overpass_midpoint,
Median at Mandela Parkway and 28th Street,intersection,"Median at Mandela Parkway and 28th Street, Oakland, CA",37.82179205,-122.28900445,overpass_direct,
International Blvd between 6th Ave and 7th Ave,intersection,"International Boulevard between 6th Avenue and 7th Avenue, Oakland, CA",37.79465625,-122.25261309999999,overpass_midpoint,
E 12th St between 6th Ave and 7th Ave,intersection,"E 12th Street between 6th Avenue and 7th Avenue, Oakland, CA",37.793980899999994,-122.25356395,overpass_midpoint,
7th Ave between E 12th St and International Blvd,intersection,"7th Avenue between E 12th Street and International Boulevard, Oakland, CA",37.793953099999996,-122.2526765,overpass_midpoint,
Harrison St between Stanley Pl and Pearl St,intersection,"Harrison Street between Stanley Place and Pearl Street, Oakland, CA",37.8186428,-122.25545245,overpass_midpoint,
10th Street between Jefferson St and MLK,intersection,"10th Street between Jefferson Street and Martin Luther King Jr Boulevard, Oakland, CA",37.80321145,-122.2771051,overpass_midpoint,
Walter Ave between S Elmhurst Ave and Tyler St,intersection,"Walter Avenue between South Elmhurst Avenue and Tyler Street, Oakland, CA",37.738524549999994,-122.18444225,overpass_midpoint,
Walter Ave between Louisiana St and Clara St,intersection,"Walter Avenue between Louisiana Street and Clara Street, Oakland, CA",37.73973245,-122.18581395000001,overpass_midpoint,
High St between Wattling St and San Leandro St,intersection,"High Street between Wattling Street and San Leandro Street, Oakland, CA",37.77025215,-122.21764425,overpass_midpoint,
Pearmain St between 100th Ave and Douglas Ave,intersection,"Pearmain Street between 100th Avenue and Douglas Avenue, Oakland, CA",37.7369832,-122.17939445,overpass_midpoint,
International Blvd between 96th Ave and 97th Ave,intersection,"International Boulevard between 96th Avenue and 97th Avenue, Oakland, CA",37.74541535,-122.171345975,overpass_midpoint,
E 12th St between Derby Ave and 29th Ave,intersection,"E 12th Street between Derby Avenue and 29th Avenue, Oakland, CA",37.7776344,-122.22927362499999,overpass_midpoint,
89th and International,intersection,"89th and International Boulevard, Oakland, CA",37.750423850000004,-122.17501365000001,overpass_direct,
E 19th St and 29th Ave,intersection,"E 19th Street and 29th Avenue, Oakland, CA",,,nominatim_no_result,nominatim_no_result
29th Ave between E 9th St and E 10th St,intersection,"29th Avenue between E 9th Street and E 10th Street, Oakland, CA",37.776267,-122.2321926,overpass_endpoint_cross2,
Pine St between Chase St and 9th St,intersection,"Pine Street between Chase Street and 9th Street, Oakland, CA",37.80987025,-122.3023824,overpass_midpoint,
MLK between 34th St and 35th St,intersection,"Martin Luther King Jr Boulevard between 34th Street and 35th Street, Oakland, CA",37.82378075,-122.26995314999999,overpass_midpoint,
Clay St between 8th St and Ninth St,intersection,"Clay Street between 8th Street and Ninth Street, Oakland, CA",37.8011416,-122.2761898,overpass_endpoint_cross1,
27th St. between Northgate south/north on the Northside of the street,intersection,"27th Street. between Northgate south, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Union St between W Grand Ave and 24th St,intersection,"Union Street between West Grand Avenue and 24th Street, Oakland, CA",37.81686715,-122.28585255,overpass_midpoint,
Median at 660 Thomas L Berkley Way/20th and MLK,intersection,"Median at 660 Thomas L Berkley Way, Oakland, CA",,,nominatim_no_result,nominatim_no_result
Market St between 30th St and 31st St,intersection,"Market Street between 30th Street and 31st Street, Oakland, CA",37.821468100000004,-122.27631165,overpass_endpoint_cross2,
30th St between Market St and San Pablo St,intersection,"30th Street between Market Street and San Pablo Street, Oakland, CA",37.820749066666664,-122.27654903333332,overpass_endpoint_cross2,
24th St between Willow St and Wood St,intersection,"24th Street between Willow Street and Wood Street, Oakland, CA",37.81992735,-122.29160730000001,overpass_midpoint,
E 12th St between High St and 44th Ave,intersection,"E 12th Street between High Street and 44th Avenue, Oakland, CA",37.77128555,-122.21546534999999,overpass_midpoint,
E 12th St between 44th Ave and 45th Ave,intersection,"E 12th Street between 44th Avenue and 45th Avenue, Oakland, CA",37.7708411,-122.21447535,overpass_midpoint,
E 12th St between High St and E 12th Place,intersection,"E 12th Street between High Street and E 12th Place, Oakland, CA",37.7714239,-122.216095,overpass_endpoint_cross1,
Wood St between 20th St and W Grand Ave,intersection,"Wood Street between 20th Street and West Grand Avenue, Oakland, CA",37.81809665,-122.293981675,overpass_midpoint,
San Pablo Ave between MLK & Thomas L Berkley Way,intersection,"San Pablo Avenue between Martin Luther King Jr Boulevard & Thomas L Berkley Way, Oakland, CA",37.8104625,-122.27327936666666,overpass_endpoint_cross1,
Pine St between 8th St and Chase St,intersection,"Pine Street between 8th Street and Chase Street, Oakland, CA",37.80910575,-122.3029833,overpass_midpoint,
35th St between Magnolia and Adeline St,intersection,"35th Street between Magnolia and Adeline Street, Oakland, CA",37.82690345,-122.28046169999999,overpass_midpoint,
Santa Clara between Harrison St and Kepmton Way,intersection,"Santa Clara between Harrison Street and Kepmton Way, Oakland, CA",37.81958015,-122.2544745,overpass_endpoint_cross1,
64th Ave between Camden St and MacArthur Blvd,intersection,"64th Avenue between Camden Street and MacArthur Boulevard, Oakland, CA",37.7731627,-122.18088165,overpass_midpoint,
MacArthur Blvd between 64th Ave and 64th Ave Pl,intersection,"MacArthur Boulevard between 64th Avenue and 64th Avenue Place, Oakland, CA",37.7737844,-122.17953455,overpass_midpoint,
Camden St between 63rd St and 64th St,intersection,"Camden Street between 63rd Street and 64th Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
62nd Ave between Brann St and Camden St,intersection,"62nd Avenue between Brann Street and Camden Street, Oakland, CA",37.7732047,-122.1839858,overpass_midpoint,
W Macarthur Blvd between Ruby and Webster St,intersection,"West Macarthur Boulevard between Ruby and Webster Street, Oakland, CA",37.825347449999995,-122.26205734999999,overpass_midpoint,
Moorpark St between Pippin St and Russet St,intersection,"Moorpark Street between Pippin Street and Russet Street, Oakland, CA",37.73280415,-122.1728488,overpass_midpoint,
Russet St and Moorpark St (Dead End),intersection,"Russet Street and Moorpark Street (Dead End), Oakland, CA",37.7330323,-122.1725231,overpass_direct,
Russet St between 105th Ave and 107th Ave,intersection,"Russet Street between 105th Avenue and 107th Avenue, Oakland, CA",37.73478245,-122.17453194999999,overpass_midpoint,
Russet St between 107th and Moorpark St,intersection,"Russet Street between 107th and Moorpark Street, Oakland, CA",37.733647250000004,-122.17322395,overpass_midpoint,
Foothill Blvd between 15th Ave and 16th Ave,intersection,"Foothill Boulevard between 15th Avenue and 16th Avenue, Oakland, CA",37.79033605,-122.2431326,overpass_midpoint,
16th Ave between Foothill Blvd and E 15th St,intersection,"16th Avenue between Foothill Boulevard and E 15th Street, Oakland, CA",37.78960465,-122.2430221,overpass_midpoint,
15th Ave between Foothill Blvd and Gleason Way,intersection,"15th Avenue between Foothill Boulevard and Gleason Way, Oakland, CA",37.79044035,-122.24384805,overpass_midpoint,
15th Ave between Gleason Way and E 15th St,intersection,"15th Avenue between Gleason Way and E 15th Street, Oakland, CA",37.79002130000001,-122.24425835,overpass_midpoint,
E 15th St between 15th Ave and 16th Ave,intersection,"E 15th Street between 15th Avenue and 16th Avenue, Oakland, CA",37.78949945,-122.243941,overpass_midpoint,
22nd Ave between E 17th St and Foothill Blvd,intersection,"22nd Avenue between E 17th Street and Foothill Boulevard, Oakland, CA",37.78666615,-122.23592635,overpass_midpoint,
Foothill Blvd between E 15th St and 23rd Ave,intersection,"Foothill Boulevard between E 15th Street and 23rd Avenue, Oakland, CA",37.7851931,-122.2341229,overpass_endpoint_cross2,
83rd Ave between 84th Ave and 83rd Ave,intersection,"83rd Avenue between 84th Avenue and 83rd Avenue, Oakland, CA",37.758158560344825,-122.17079175344827,overpass_midpoint,
MacArthur Blvd between 64th Ave Pl and 65th Ave,intersection,"MacArthur Boulevard between 64th Avenue Place and 65th Avenue, Oakland, CA",37.77337905,-122.1790045,overpass_midpoint,
Camden St between 62nd St and 63rd St,intersection,"Camden Street between 62nd Street and 63rd Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
MacArthur Blvd between 66th Ave and 68th Ave,intersection,"MacArthur Boulevard between 66th Avenue and 68th Avenue, Oakland, CA",37.7719084,-122.1772082,overpass_midpoint,
Brann St between 64th Ave and Camden St,intersection,"Brann Street between 64th Avenue and Camden Street, Oakland, CA",37.77135615,-122.18249725000001,overpass_midpoint,
Knight Street between Douglas Avenue and Gramercy Place,intersection,"Knight Street between Douglas Avenue and Gramercy Place, Oakland, CA",37.7296621,-122.1812844,overpass_endpoint_cross2,
Bancroft Avenue between 42nd Avenue & High Street,intersection,"Bancroft Avenue between 42nd Avenue & High Street, Oakland, CA",37.773865175000005,-122.2140977,overpass_midpoint,
Embarcadero between Dennison & Livingston,intersection,"Embarcadero between Dennison & Livingston, Oakland, CA",37.780000799999996,-122.2426662,overpass_midpoint,
16th Street between MLK and Castro,intersection,"16th Street between Martin Luther King Jr Boulevard and Castro, Oakland, CA",37.796810550000004,-122.3154836,overpass_midpoint,
Miles Ave between Presley Way and College Ave,intersection,"Miles Avenue between Presley Way and College Avenue, Oakland, CA",37.8459996,-122.24967665,overpass_midpoint,
23rd�St. between MLK and San Pablo,intersection,"23rd�Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",37.8104625,-122.27327936666666,overpass_direct,
14th Avenue between East 33rd and MacArthur,intersection,"14th Avenue between East 33rd and MacArthur, Oakland, CA",37.8001023,-122.2275383,overpass_endpoint_cross1,
85th Avenue between Baldwin St and Enterprise Way,intersection,"85th Avenue between Baldwin Street and Enterprise Way, Oakland, CA",37.742962649999996,-122.19163355,overpass_midpoint,
Webster St between 5th St and 6th St,intersection,"Webster Street between 5th Street and 6th Street, Oakland, CA",37.797525775,-122.2724477,overpass_midpoint,
Dover St between 44th and 45th,intersection,"Dover Street between 44th and 45th, Oakland, CA",37.8324765,-122.2654015,overpass_endpoint_cross1,
Wood Street between 24th St and Willow St,intersection,"Wood Street between 24th Street and Willow Street, Oakland, CA",37.8202462,-122.292247,overpass_endpoint_cross1,
77th Ave between Rudsdale St and Hamilton St,intersection,"77th Avenue between Rudsdale Street and Hamilton Street, Oakland, CA",37.7553685,-122.1877795,overpass_midpoint,
Brann St between 62nd Ave and 64th Ave,intersection,"Brann Street between 62nd Avenue and 64th Avenue, Oakland, CA",37.7721692,-122.1839097,overpass_midpoint,
62nd Ave between Foothill Blvd and Brann St,intersection,"62nd Avenue between Foothill Boulevard and Brann Street, Oakland, CA",37.77190395,-122.1856242,overpass_midpoint,
64th Ave between Foothill Blvd and Brann,intersection,"64th Avenue between Foothill Boulevard and Brann, Oakland, CA",37.77118995,-122.18390685,overpass_midpoint,
Foothill Blvd between 63rd Ave and 64th Ave,intersection,"Foothill Boulevard between 63rd Avenue and 64th Avenue, Oakland, CA",37.7708438,-122.18500065,overpass_midpoint,
Foothill Blvd between 62nd Ave and 63rd Ave,intersection,"Foothill Boulevard between 62nd Avenue and 63rd Avenue, Oakland, CA",37.7709854,-122.1860932,overpass_midpoint,
Brann St between Camden St and 67th Ave,intersection,"Brann Street between Camden Street and 67th Avenue, Oakland, CA",37.77096185,-122.1806035,overpass_midpoint,
Poplar between 18th St and 20th St,intersection,"Poplar between 18th Street and 20th Street, Oakland, CA",37.81392685,-122.28795545,overpass_midpoint,
E 12th St from 19th Ave to 20th Ave,intersection,"E 12th Street from 19th Avenue to 20th Avenue, Oakland, CA",37.78526155,-122.24135684999999,overpass_midpoint,
18th St between Mandela Pkwy and Kirkham St,intersection,"18th Street between Mandela Parkway and Kirkham Street, Oakland, CA",37.813606675,-122.28979025,overpass_midpoint,
Laney College at 7th and Fallon,intersection,"Laney College at 7th and Fallon, Oakland, CA",,,nominatim_no_result,nominatim_no_result
E 12th St between 46th Ave and 47th Ave,intersection,"E 12th Street between 46th Avenue and 47th Avenue, Oakland, CA",37.7696404,-122.21303375,overpass_midpoint,
Clay St between 7th St and 8th St,intersection,"Clay Street between 7th Street and 8th Street, Oakland, CA",37.8008013,-122.27640235,overpass_midpoint,
Clarke St between 40th and 38th,intersection,"Clarke Street between 40th and 38th, Oakland, CA",37.8279299,-122.26349537499999,overpass_midpoint,
18th Ave between Solano Way & International Blvd,intersection,"18th Avenue between Solano Way & International Boulevard, Oakland, CA",37.786879799999994,-122.2422978,overpass_midpoint,
Union St between W. Grand and 24th St (2320 Union St),intersection,"Union Street between West Grand and 24th Street (2320 Union Street), Oakland, CA",37.81686715,-122.28585255,overpass_midpoint,
San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro St (Pick-n-Pull),intersection,"San Leandro Street between 81st Avenue and 85th Avenue, Oakland, CA",37.7484041,-122.19072969999999,overpass_midpoint,
71st Ave Between Oral St and International Blvd (1430 71st Ave),intersection,"71st Avenue Between Oral Street and International Boulevard (1430 71st Avenue), Oakland, CA",37.7600611,-122.1889074,overpass_endpoint_cross2,
18th St between Campbell St and Wood St,intersection,"18th Street between Campbell Street and Wood Street, Oakland, CA",37.815362199999996,-122.29436165,overpass_midpoint,
Median: East 8th Street and 11th Avenue/ 1125 E 11th St,intersection,"Median, Oakland, CA",,,nominatim_no_result,nominatim_no_result
B St between 97th Ave and 98th,intersection,"B Street between 97th Avenue and 98th, Oakland, CA",37.7431345,-122.1741739,overpass_midpoint,
17th Ave between Solano Way & E 12th St,intersection,"17th Avenue between Solano Way & E 12th Street, Oakland, CA",37.7870946,-122.2437311,overpass_midpoint,
20th St between Wood St and Campbell St,intersection,"20th Street between Wood Street and Campbell Street, Oakland, CA",37.8167111,-122.2932932,overpass_midpoint,
Campbell St between 18th St and 20th St,intersection,"Campbell Street between 18th Street and 20th Street, Oakland, CA",37.8153905,-122.2925425,overpass_midpoint,
E 7th St between 23rd Ave and Kennedy St: 646 Kennedy St,intersection,"E 7th Street between 23rd Avenue and Kennedy Street, Oakland, CA",37.775522466666665,-122.23681625,overpass_midpoint,
Kennedy St between E7th St and 23rd Ave: 401 Kennedy St,intersection,"Kennedy Street between E7th Street and 23rd Avenue, Oakland, CA",37.774452716666666,-122.2366552,overpass_midpoint,
6th St between Brush St and Castro St,intersection,"6th Street between Brush Street and Castro Street, Oakland, CA",37.80137325,-122.28118175,overpass_midpoint,
34th Ave and E. 9th St (cul-de-sac),intersection,"34th Avenue and East 9th Street, Oakland, CA",37.7728548,-122.2262435,overpass_direct,
E 12th St between 47th Ave and 48th Ave,intersection,"E 12th Street between 47th Avenue and 48th Avenue, Oakland, CA",37.76905155,-122.21233595000001,overpass_midpoint,
W. MacArthur between MLK and Dover St,intersection,"West MacArthur between Martin Luther King Jr Boulevard and Dover Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
E 15th St between Miller Ave & 24th Ave,intersection,"E 15th Street between Miller Avenue & 24th Avenue, Oakland, CA",37.78348205,-122.23388475,overpass_midpoint,
Wood St between 16th & 17th,intersection,"Wood Street between 16th & 17th, Oakland, CA",37.8149888,-122.2964522,overpass_midpoint,
San Leandro St between 38th Ave and 39th Ave,intersection,"San Leandro Street between 38th Avenue and 39th Avenue, Oakland, CA",37.7724887,-122.22105485,overpass_midpoint,
International Blvd between 105th Ave and 106th Ave,intersection,"International Boulevard between 105th Avenue and 106th Avenue, Oakland, CA",37.738934425,-122.166535375,overpass_midpoint,
International Blvd between 106th Ave and 107th Ave,intersection,"International Boulevard between 106th Avenue and 107th Avenue, Oakland, CA",37.73832415,-122.1661131,overpass_midpoint,
San Leandro St between Stone St and Apple St,intersection,"San Leandro Street between Stone Street and Apple Street, Oakland, CA",37.73663665,-122.1767801,overpass_midpoint,
San Leandro St between Apple St and 105th Ave,intersection,"San Leandro Street between Apple Street and 105th Avenue, Oakland, CA",37.735792950000004,-122.17553857499999,overpass_midpoint,
Mandela Parkway between Peralta St & W Grand Ave,intersection,"Mandela Parkway between Peralta Street & West Grand Avenue, Oakland, CA",37.8169938625,-122.289389575,overpass_midpoint,
15th Ave (Median) between Foothill Blvd and E. 19th Street  (1740 15th Ave),intersection,"15th Avenue (Median) between Foothill Boulevard and East 19th Street (1740 15th Avenue), Oakland, CA",37.7914697,-122.24284660000001,overpass_midpoint,
10th St and E 10th St between East Dr & 2nd Ave,intersection,"10th Street and E 10th Street between East Drive & 2nd Avenue, Oakland, CA",,,nominatim_no_result,nominatim_no_result
33rd Ave and E. 9th St (cul-de-sac),intersection,"33rd Avenue and East 9th Street, Oakland, CA",37.7731283,-122.227024,overpass_direct,
26th St between Willow St and Wood St,intersection,"26th Street between Willow Street and Wood Street, Oakland, CA",37.821349049999995,-122.29047410000001,overpass_midpoint,
35th St between West St and Market St,intersection,"35th Street between West Street and Market Street, Oakland, CA",37.82517785,-122.27380035,overpass_midpoint,
Market between 35th and 36th,intersection,"Market between 35th and 36th, Oakland, CA",37.8259149,-122.27513590000001,overpass_midpoint,
West St between 16th St & 18th St,intersection,"West Street between 16th Street & 18th Street, Oakland, CA",37.809596400000004,-122.27826315,overpass_midpoint,
Wood St between 15th & 16th,intersection,"Wood Street between 15th & 16th, Oakland, CA",37.814297550000006,-122.29700365,overpass_midpoint,
17th St between Willow St and Campbell St,intersection,"17th Street between Willow Street and Campbell Street, Oakland, CA",37.81435505,-122.29426520000001,overpass_midpoint,
17th St between Wood St and Willow St,intersection,"17th Street between Wood Street and Willow Street, Oakland, CA",37.8150024,-122.29554730000001,overpass_midpoint,
Wood St between 18th & 20th,intersection,"Wood Street between 18th & 20th, Oakland, CA",37.816682799999995,-122.29511235,overpass_midpoint,
Wood St between 17th & 18th,intersection,"Wood Street between 17th & 18th, Oakland, CA",37.81566995,-122.29591429999999,overpass_midpoint,
18th Ave between E12th St & Solano Way,intersection,"18th Avenue between E12th Street & Solano Way, Oakland, CA",37.78646895,-122.24268380000001,overpass_midpoint,
High Street and Jensen: 500 High St/4343 Jensen St,intersection,"High Street and Jensen, Oakland, CA",37.7673911,-122.2214367,overpass_direct,
Alameda Avenue from Howard Street to Fruitvale Ave,intersection,"Alameda Avenue from Howard Street to Fruitvale Avenue, Oakland, CA",37.76960703333334,-122.22971456666666,overpass_endpoint_cross2,
E. 8th St. and 37th Ave (behind home depot),intersection,"East 8th Street. and 37th Avenue, Oakland, CA",37.7713111,-122.2238303,overpass_direct,
Edes Ave between 98th Ave and Douglas Ave: 9910 Edes,intersection,"Edes Avenue between 98th Avenue and Douglas Avenue, Oakland, CA",37.73596475,-122.1820425,overpass_midpoint,
Telegraph Ave between 34th St and 35th St.,intersection,"Telegraph Avenue between 34th Street and 35th Street, Oakland, CA",37.8224656,-122.2662674,overpass_endpoint_cross1,
High St between Oakport St and Coliseum Way,intersection,"High Street between Oakport Street and Coliseum Way, Oakland, CA",37.76826545,-122.22028449999999,overpass_midpoint,
San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro Street (Pick-n-Pull),intersection,"San Leandro Street between 81st Avenue and 85th Avenue, Oakland, CA",37.7484041,-122.19072969999999,overpass_midpoint,
Cary Ave between Hale Ave and Edes Ave,intersection,"Cary Avenue between Hale Avenue and Edes Avenue, Oakland, CA",37.733804750000004,-122.1801647,overpass_midpoint,
5th St between Kirkham St and Mandela Parkway,intersection,"5th Street between Kirkham Street and Mandela Parkway, Oakland, CA",37.8036683,-122.2934414,overpass_midpoint,
45th St between Telegraph Ave and Webster St,intersection,"45th Street between Telegraph Avenue and Webster Street, Oakland, CA",37.833180549999994,-122.2617717,overpass_midpoint,
7th St between Castro St and Brush St,intersection,"7th Street between Castro Street and Brush Street, Oakland, CA",37.802088325,-122.28060115,overpass_midpoint,
Wattling St between 42nd Ave and High St,intersection,"Wattling Street between 42nd Avenue and High Street, Oakland, CA",37.770157749999996,-122.21872795,overpass_midpoint,
E St between 91st Ave and 92nd Ave,intersection,"East Street between 91st Avenue and 92nd Avenue, Oakland, CA",37.74594183333333,-122.18007241666666,overpass_midpoint,
23rd between West St and Brush St,intersection,"23rd between West Street and Brush Street, Oakland, CA",37.813530650000004,-122.27507095,overpass_midpoint,
34th St between Peralta St and Fitzgerald St,intersection,"34th Street between Peralta Street and Fitzgerald Street, Oakland, CA",37.8260262,-122.28269325,overpass_midpoint,
E 12th St between 45th Ave and 46th Ave,intersection,"E 12th Street between 45th Avenue and 46th Avenue, Oakland, CA",37.77024085,-122.21375445000001,overpass_midpoint,
Bigge Street between 98th Ave & Adams Ave,intersection,"Bigge Street between 98th Avenue & Adams Avenue, Oakland, CA",37.728618850000004,-122.1920479,overpass_midpoint,
Mandela Parkway between 14th & 16th,intersection,"Mandela Parkway between 14th & 16th, Oakland, CA",37.811545075,-122.291256425,overpass_midpoint,
16th St between Kirkham St and Mandela Pkwy,intersection,"16th Street between Kirkham Street and Mandela Parkway, Oakland, CA",37.81213245,-122.290334375,overpass_midpoint,
38th Ave between Wattling St and San Leandro St,intersection,"38th Avenue between Wattling Street and San Leandro Street, Oakland, CA",37.7722651,-122.22184784999999,overpass_midpoint,
E. 8th between 12th Ave to E. 12th st,intersection,"East 8th between 12th Avenue to East 12th st, Oakland, CA",37.788772050000006,-122.248562675,overpass_midpoint,
2nd St between MLK and Jefferson St,intersection,"2nd Street between Martin Luther King Jr Boulevard and Jefferson Street, Oakland, CA",37.797706700000006,-122.28054675,overpass_midpoint,
60th St between Idaho St & Lowell St,intersection,"60th Street between Idaho Street & Lowell Street, Oakland, CA",37.8437203,-122.27880465000001,overpass_midpoint,
42nd Ave between San Leandro Blvd & Wattling St,intersection,"42nd Avenue between San Leandro Boulevard & Wattling Street, Oakland, CA",37.7704315,-122.2193154,overpass_endpoint_cross2,
W Grand Ave between West St and Brush St,intersection,"West Grand Avenue between West Street and Brush Street, Oakland, CA",37.8131853,-122.2752921,overpass_midpoint,
9th St and Pine St (cul-de-sac),intersection,"9th Street and Pine Street, Oakland, CA",37.8102365,-122.3020939,overpass_direct,
Shorey St and Pine St,intersection,"Shorey Street and Pine Street, Oakland, CA",,,nominatim_no_result,nominatim_no_result
International Blvd and 102nd Ave and 103rd Ave: 10221 International Blvd,intersection,"International Boulevard and 102nd Avenue and 103rd Avenue, Oakland, CA",,,nominatim_no_result,nominatim_no_result
MLK between 35th St and 36th St,intersection,"Martin Luther King Jr Boulevard between 35th Street and 36th Street, Oakland, CA",37.82463075,-122.26973849999999,overpass_midpoint,
Kirkham St between 16th St and 18th St,intersection,"Kirkham Street between 16th Street and 18th Street, Oakland, CA",37.81272465,-122.28942825,overpass_midpoint,
84th Ave between 83rd ave and Dowling St,intersection,"84th Avenue between 83rd ave and Dowling Street, Oakland, CA",37.75954925,-122.16694319999999,overpass_midpoint,
83rd Ave between Dowling St and 83rd Ave,intersection,"83rd Avenue between Dowling Street and 83rd Avenue, Oakland, CA",37.75826181034482,-122.17168395344827,overpass_midpoint,
83rd Ave between 84th Ave & 83rd Ave,intersection,"83rd Avenue between 84th Avenue & 83rd Avenue, Oakland, CA",37.758158560344825,-122.17079175344827,overpass_midpoint,
18th St and Poplar St (DeFremery Pool - front of entrance),intersection,"18th Street and Poplar Street (DeFremery Pool - front of entrance), Oakland, CA",37.8132464,-122.2882,overpass_direct,
Dowling St between 83rd Ave and 84th Ave,intersection,"Dowling Street between 83rd Avenue and 84th Avenue, Oakland, CA",37.7596525,-122.1678354,overpass_midpoint,
53rd Ave between E 8th St and San Leandro St,intersection,"53rd Avenue between E 8th Street and San Leandro Street, Oakland, CA",37.76449555,-122.210634,overpass_midpoint,
San Leandro St between 53rd Ave and 54th Ave,intersection,"San Leandro Street between 53rd Avenue and 54th Avenue, Oakland, CA",37.76456255,-122.20991385,overpass_midpoint,
E 12th St between 14th Ave and 16th Ave (Behind Burger King),intersection,"E 12th Street between 14th Avenue and 16th Avenue, Oakland, CA",37.787952125000004,-122.245984975,overpass_midpoint,
23rd Ave between Foothill Blvd and E 17th St,intersection,"23rd Avenue between Foothill Boulevard and E 17th Street, Oakland, CA",37.785482900000005,-122.23372334999999,overpass_midpoint,
E 17th St between 22nd Ave and 23rd Ave,intersection,"E 17th Street between 22nd Avenue and 23rd Avenue, Oakland, CA",37.7864288,-122.23442829999999,overpass_midpoint,
Foothill Blvd between 22nd Ave and 23rd Ave,intersection,"Foothill Boulevard between 22nd Avenue and 23rd Avenue, Oakland, CA",37.78572025,-122.2352214,overpass_midpoint,
San Leandro St between 85th Ave and 92nd Ave,intersection,"San Leandro Street between 85th Avenue and 92nd Avenue, Oakland, CA",37.74517535,-122.18687825,overpass_midpoint,
W Grand Ave between Isabella St and West St,intersection,"West Grand Avenue between Isabella Street and West Street, Oakland, CA",37.813829075,-122.276926425,overpass_midpoint,
54th Ave between San Leandro St and E 8th St,intersection,"54th Avenue between San Leandro Street and E 8th Street, Oakland, CA",37.763993,-122.2100284,overpass_midpoint,
10th St between Fallon St & East Dr,intersection,"10th Street between Fallon Street & East Drive, Oakland, CA",37.79736,-122.26220645000001,overpass_midpoint,
Castro St between 2nd St St and 3rd St,intersection,"Castro Street between 2nd Street Street and 3rd Street, Oakland, CA",37.799091,-122.2818867,overpass_endpoint_cross2,
21st St between Adeline St & Union St,intersection,"21st Street between Adeline Street & Union Street, Oakland, CA",37.81466185,-122.28547069999999,overpass_midpoint,
