location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
22nd Ave between E 17th St and Foothill Blvd,intersection,"22nd Avenue between E 17th Street and Foothill Boulevard, Oakland, CA",,,,
Foothill Blvd between E 15th St and 23rd Ave,intersection,"Foothill Boulevard between E 15th Street and 23rd Avenue, Oakland, CA",,,,
83rd Ave between 84th Ave and 83rd Ave,intersection,"83rd Avenue between 84th Avenue and 83rd Avenue, Oakland, CA",,,,
MacArthur Blvd between 64th Ave Pl and 65th Ave,intersection,"MacArthur Boulevard between 64th Avenue Place and 65th Avenue, Oakland, CA",,,,
Camden St between 62nd St and 63rd St,intersection,"Camden Street between 62nd Street and 63rd Street, Oakland, CA",,,,
MacArthur Blvd between 66th Ave and 68th Ave,intersection,"MacArthur Boulevard between 66th Avenue and 68th Avenue, Oakland, CA",,,,
Brann St between 64th Ave and Camden St,intersection,"Brann Street between 64th Avenue and Camden Street, Oakland, CA",,,,
Knight Street between Douglas Avenue and Gramercy Place,intersection,"Knight Street between Douglas Avenue and Gramercy Place, Oakland, CA",,,,
Bancroft Avenue between 42nd Avenue & High Street,intersection,"Bancroft Avenue between 42nd Avenue & High Street, Oakland, CA",,,,
Embarcadero between Dennison & Livingston,intersection,"Embarcadero between Dennison & Livingston, Oakland, CA",,,,
16th Street between MLK and Castro,intersection,"16th Street between Martin Luther King Jr Boulevard and Castro, Oakland, CA",,,,
Miles Ave between Presley Way and College Ave,intersection,"Miles Avenue between Presley Way and College Avenue, Oakland, CA",,,,
23rd�St. between MLK and San Pablo,intersection,"23rd�Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,
14th Avenue between East 33rd and MacArthur,intersection,"14th Avenue between East 33rd and MacArthur, Oakland, CA",,,,
85th Avenue between Baldwin St and Enterprise Way,intersection,"85th Avenue between Baldwin Street and Enterprise Way, Oakland, CA",,,,
Webster St between 5th St and 6th St,intersection,"Webster Street between 5th Street and 6th Street, Oakland, CA",,,,
Dover St between 44th and 45th,intersection,"Dover Street between 44th and 45th, Oakland, CA",,,,
Wood Street between 24th St and Willow St,intersection,"Wood Street between 24th Street and Willow Street, Oakland, CA",,,,
77th Ave between Rudsdale St and Hamilton St,intersection,"77th Avenue between Rudsdale Street and Hamilton Street, Oakland, CA",,,,
Brann St between 62nd Ave and 64th Ave,intersection,"Brann Street between 62nd Avenue and 64th Avenue, Oakland, CA",,,,
62nd Ave between Foothill Blvd and Brann St,intersection,"62nd Avenue between Foothill Boulevard and Brann Street, Oakland, CA",,,,
64th Ave between Foothill Blvd and Brann,intersection,"64th Avenue between Foothill Boulevard and Brann, Oakland, CA",,,,
Foothill Blvd between 63rd Ave and 64th Ave,intersection,"Foothill Boulevard between 63rd Avenue and 64th Avenue, Oakland, CA",,,,
Foothill Blvd between 62nd Ave and 63rd Ave,intersection,"Foothill Boulevard between 62nd Avenue and 63rd Avenue, Oakland, CA",,,,
Brann St between Camden St and 67th Ave,intersection,"Brann Street between Camden Street and 67th Avenue, Oakland, CA",,,,
Poplar between 18th St and 20th St,intersection,"Poplar between 18th Street and 20th Street, Oakland, CA",,,,
E 12th St from 19th Ave to 20th Ave,intersection,"E 12th Street from 19th Avenue to 20th Avenue, Oakland, CA",,,,
18th St between Mandela Pkwy and Kirkham St,intersection,"18th Street between Mandela Parkway and Kirkham Street, Oakland, CA",,,,
Laney College at 7th and Fallon,intersection,"Laney College at 7th and Fallon, Oakland, CA",,,,
E 12th St between 46th Ave and 47th Ave,intersection,"E 12th Street between 46th Avenue and 47th Avenue, Oakland, CA",,,,
Clay St between 7th St and 8th St,intersection,"Clay Street between 7th Street and 8th Street, Oakland, CA",,,,
Clarke St between 40th and 38th,intersection,"Clarke Street between 40th and 38th, Oakland, CA",,,,
18th Ave between Solano Way & International Blvd,intersection,"18th Avenue between Solano Way & International Boulevard, Oakland, CA",,,,
Union St between W. Grand and 24th St (2320 Union St),intersection,"Union Street between West Grand and 24th Street (2320 Union Street), Oakland, CA",,,,
San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro St (Pick-n-Pull),intersection,"San Leandro Street between 81st Avenue and 85th Avenue, Oakland, CA",,,,
71st Ave Between Oral St and International Blvd (1430 71st Ave),intersection,"71st Avenue Between Oral Street and International Boulevard (1430 71st Avenue), Oakland, CA",,,,
18th St between Campbell St and Wood St,intersection,"18th Street between Campbell Street and Wood Street, Oakland, CA",,,,
Median: East 8th Street and 11th Avenue/ 1125 E 11th St,intersection,"Median, Oakland, CA",,,,
B St between 97th Ave and 98th,intersection,"B Street between 97th Avenue and 98th, Oakland, CA",,,,
17th Ave between Solano Way & E 12th St,intersection,"17th Avenue between Solano Way & E 12th Street, Oakland, CA",,,,
20th St between Wood St and Campbell St,intersection,"20th Street between Wood Street and Campbell Street, Oakland, CA",,,,
Campbell St between 18th St and 20th St,intersection,"Campbell Street between 18th Street and 20th Street, Oakland, CA",,,,
E 7th St between 23rd Ave and Kennedy St: 646 Kennedy St,intersection,"E 7th Street between 23rd Avenue and Kennedy Street, Oakland, CA",,,,
Kennedy St between E7th St and 23rd Ave: 401 Kennedy St,intersection,"Kennedy Street between E7th Street and 23rd Avenue, Oakland, CA",,,,
6th St between Brush St and Castro St,intersection,"6th Street between Brush Street and Castro Street, Oakland, CA",,,,
34th Ave and E. 9th St (cul-de-sac),intersection,"34th Avenue and East 9th Street, Oakland, CA",,,,
E 12th St between 47th Ave and 48th Ave,intersection,"E 12th Street between 47th Avenue and 48th Avenue, Oakland, CA",,,,
W. MacArthur between MLK and Dover St,intersection,"West MacArthur between Martin Luther King Jr Boulevard and Dover Street, Oakland, CA",,,,
E 15th St between Miller Ave & 24th Ave,intersection,"E 15th Street between Miller Avenue & 24th Avenue, Oakland, CA",,,,
Wood St between 16th & 17th,intersection,"Wood Street between 16th & 17th, Oakland, CA",,,,
San Leandro St between 38th Ave and 39th Ave,intersection,"San Leandro Street between 38th Avenue and 39th Avenue, Oakland, CA",,,,
International Blvd between 105th Ave and 106th Ave,intersection,"International Boulevard between 105th Avenue and 106th Avenue, Oakland, CA",,,,
International Blvd between 106th Ave and 107th Ave,intersection,"International Boulevard between 106th Avenue and 107th Avenue, Oakland, CA",,,,
San Leandro St between Stone St and Apple St,intersection,"San Leandro Street between Stone Street and Apple Street, Oakland, CA",,,,
San Leandro St between Apple St and 105th Ave,intersection,"San Leandro Street between Apple Street and 105th Avenue, Oakland, CA",,,,
Mandela Parkway between Peralta St & W Grand Ave,intersection,"Mandela Parkway between Peralta Street & West Grand Avenue, Oakland, CA",,,,
15th Ave (Median) between Foothill Blvd and E. 19th Street  (1740 15th Ave),intersection,"15th Avenue (Median) between Foothill Boulevard and East 19th Street (1740 15th Avenue), Oakland, CA",,,,
10th St and E 10th St between East Dr & 2nd Ave,intersection,"10th Street and E 10th Street between East Drive & 2nd Avenue, Oakland, CA",,,,
33rd Ave and E. 9th St (cul-de-sac),intersection,"33rd Avenue and East 9th Street, Oakland, CA",,,,
26th St between Willow St and Wood St,intersection,"26th Street between Willow Street and Wood Street, Oakland, CA",,,,
35th St between West St and Market St,intersection,"35th Street between West Street and Market Street, Oakland, CA",,,,
Market between 35th and 36th,intersection,"Market between 35th and 36th, Oakland, CA",,,,
West St between 16th St & 18th St,intersection,"West Street between 16th Street & 18th Street, Oakland, CA",,,,
Wood St between 15th & 16th,intersection,"Wood Street between 15th & 16th, Oakland, CA",,,,
17th St between Willow St and Campbell St,intersection,"17th Street between Willow Street and Campbell Street, Oakland, CA",,,,
17th St between Wood St and Willow St,intersection,"17th Street between Wood Street and Willow Street, Oakland, CA",,,,
Wood St between 18th & 20th,intersection,"Wood Street between 18th & 20th, Oakland, CA",,,,
Wood St between 17th & 18th,intersection,"Wood Street between 17th & 18th, Oakland, CA",,,,
18th Ave between E12th St & Solano Way,intersection,"18th Avenue between E12th Street & Solano Way, Oakland, CA",,,,
High Street and Jensen: 500 High St/4343 Jensen St,intersection,"High Street and Jensen, Oakland, CA",,,,
Alameda Avenue from Howard Street to Fruitvale Ave,intersection,"Alameda Avenue from Howard Street to Fruitvale Avenue, Oakland, CA",,,,
E. 8th St. and 37th Ave (behind home depot),intersection,"East 8th Street. and 37th Avenue, Oakland, CA",,,,
Edes Ave between 98th Ave and Douglas Ave: 9910 Edes,intersection,"Edes Avenue between 98th Avenue and Douglas Avenue, Oakland, CA",,,,
Telegraph Ave between 34th St and 35th St.,intersection,"Telegraph Avenue between 34th Street and 35th Street, Oakland, CA",,,,
High St between Oakport St and Coliseum Way,intersection,"High Street between Oakport Street and Coliseum Way, Oakland, CA",,,,
San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro Street (Pick-n-Pull),intersection,"San Leandro Street between 81st Avenue and 85th Avenue, Oakland, CA",,,,
Cary Ave between Hale Ave and Edes Ave,intersection,"Cary Avenue between Hale Avenue and Edes Avenue, Oakland, CA",,,,
5th St between Kirkham St and Mandela Parkway,intersection,"5th Street between Kirkham Street and Mandela Parkway, Oakland, CA",,,,
45th St between Telegraph Ave and Webster St,intersection,"45th Street between Telegraph Avenue and Webster Street, Oakland, CA",,,,
7th St between Castro St and Brush St,intersection,"7th Street between Castro Street and Brush Street, Oakland, CA",,,,
Wattling St between 42nd Ave and High St,intersection,"Wattling Street between 42nd Avenue and High Street, Oakland, CA",,,,
E St between 91st Ave and 92nd Ave,intersection,"East Street between 91st Avenue and 92nd Avenue, Oakland, CA",,,,
23rd between West St and Brush St,intersection,"23rd between West Street and Brush Street, Oakland, CA",,,,
34th St between Peralta St and Fitzgerald St,intersection,"34th Street between Peralta Street and Fitzgerald Street, Oakland, CA",,,,
E 12th St between 45th Ave and 46th Ave,intersection,"E 12th Street between 45th Avenue and 46th Avenue, Oakland, CA",,,,
Bigge Street between 98th Ave & Adams Ave,intersection,"Bigge Street between 98th Avenue & Adams Avenue, Oakland, CA",,,,
Mandela Parkway between 14th & 16th,intersection,"Mandela Parkway between 14th & 16th, Oakland, CA",,,,
16th St between Kirkham St and Mandela Pkwy,intersection,"16th Street between Kirkham Street and Mandela Parkway, Oakland, CA",,,,
38th Ave between Wattling St and San Leandro St,intersection,"38th Avenue between Wattling Street and San Leandro Street, Oakland, CA",,,,
E. 8th between 12th Ave to E. 12th st,intersection,"East 8th between 12th Avenue to East 12th st, Oakland, CA",,,,
2nd St between MLK and Jefferson St,intersection,"2nd Street between Martin Luther King Jr Boulevard and Jefferson Street, Oakland, CA",,,,
60th St between Idaho St & Lowell St,intersection,"60th Street between Idaho Street & Lowell Street, Oakland, CA",,,,
42nd Ave between San Leandro Blvd & Wattling St,intersection,"42nd Avenue between San Leandro Boulevard & Wattling Street, Oakland, CA",,,,
W Grand Ave between West St and Brush St,intersection,"West Grand Avenue between West Street and Brush Street, Oakland, CA",,,,
9th St and Pine St (cul-de-sac),intersection,"9th Street and Pine Street, Oakland, CA",,,,
Shorey St and Pine St,intersection,"Shorey Street and Pine Street, Oakland, CA",,,,
International Blvd and 102nd Ave and 103rd Ave: 10221 International Blvd,intersection,"International Boulevard and 102nd Avenue and 103rd Avenue, Oakland, CA",,,,
MLK between 35th St and 36th St,intersection,"Martin Luther King Jr Boulevard between 35th Street and 36th Street, Oakland, CA",,,,
Kirkham St between 16th St and 18th St,intersection,"Kirkham Street between 16th Street and 18th Street, Oakland, CA",,,,
84th Ave between 83rd ave and Dowling St,intersection,"84th Avenue between 83rd ave and Dowling Street, Oakland, CA",,,,
83rd Ave between Dowling St and 83rd Ave,intersection,"83rd Avenue between Dowling Street and 83rd Avenue, Oakland, CA",,,,
83rd Ave between 84th Ave & 83rd Ave,intersection,"83rd Avenue between 84th Avenue & 83rd Avenue, Oakland, CA",,,,
18th St and Poplar St (DeFremery Pool - front of entrance),intersection,"18th Street and Poplar Street (DeFremery Pool - front of entrance), Oakland, CA",,,,
Dowling St between 83rd Ave and 84th Ave,intersection,"Dowling Street between 83rd Avenue and 84th Avenue, Oakland, CA",,,,
53rd Ave between E 8th St and San Leandro St,intersection,"53rd Avenue between E 8th Street and San Leandro Street, Oakland, CA",,,,
San Leandro St between 53rd Ave and 54th Ave,intersection,"San Leandro Street between 53rd Avenue and 54th Avenue, Oakland, CA",,,,
E 12th St between 14th Ave and 16th Ave (Behind Burger King),intersection,"E 12th Street between 14th Avenue and 16th Avenue, Oakland, CA",,,,
23rd Ave between Foothill Blvd and E 17th St,intersection,"23rd Avenue between Foothill Boulevard and E 17th Street, Oakland, CA",,,,
E 17th St between 22nd Ave and 23rd Ave,intersection,"E 17th Street between 22nd Avenue and 23rd Avenue, Oakland, CA",,,,
Foothill Blvd between 22nd Ave and 23rd Ave,intersection,"Foothill Boulevard between 22nd Avenue and 23rd Avenue, Oakland, CA",,,,
San Leandro St between 85th Ave and 92nd Ave,intersection,"San Leandro Street between 85th Avenue and 92nd Avenue, Oakland, CA",,,,
W Grand Ave between Isabella St and West St,intersection,"West Grand Avenue between Isabella Street and West Street, Oakland, CA",,,,
54th Ave between San Leandro St and E 8th St,intersection,"54th Avenue between San Leandro Street and E 8th Street, Oakland, CA",,,,
10th St between Fallon St & East Dr,intersection,"10th Street between Fallon Street & East Drive, Oakland, CA",,,,
Castro St between 2nd St St and 3rd St,intersection,"Castro Street between 2nd Street Street and 3rd Street, Oakland, CA",,,,
21st St between Adeline St & Union St,intersection,"21st Street between Adeline Street & Union Street, Oakland, CA",,,,
23rd St between Northgate Ave and Telegraph Ave,intersection,"23rd Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,
23rd St between MLK to Northgate,intersection,"23rd Street between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,
27th St between MLK Jr Way and Northgate Ave,intersection,"27th Street between Martin Luther King Jr Boulevard Jr Way and Northgate Avenue, Oakland, CA",,,,
MLK between 23rd & 24th,intersection,"Martin Luther King Jr Boulevard between 23rd & 24th, Oakland, CA",,,,
MLK between 24th & 25th,intersection,"Martin Luther King Jr Boulevard between 24th & 25th, Oakland, CA",,,,
MLK between 25th St & Sycamore St,intersection,"Martin Luther King Jr Boulevard between 25th Street & Sycamore Street, Oakland, CA",,,,
MLK between Sycamore St & 26th St,intersection,"Martin Luther King Jr Boulevard between Sycamore Street & 26th Street, Oakland, CA",,,,
MLK between 26th St & 27th St,intersection,"Martin Luther King Jr Boulevard between 26th Street & 27th Street, Oakland, CA",,,,
Sycamore between Northgate and MLK,intersection,"Sycamore between Northgate and Martin Luther King Jr Boulevard, Oakland, CA",,,,
Northgate Ave between W Grand Ave and 23rd St,intersection,"Northgate Avenue between West Grand Avenue and 23rd Street, Oakland, CA",,,,
28th Street between Ettie and Mandela Parkway,intersection,"28th Street between Ettie and Mandela Parkway, Oakland, CA",,,,
28th St between Ettie St & Hannah St,intersection,"28th Street between Ettie Street & Hannah Street, Oakland, CA",,,,
Ettie St b/t 28th St and 32nd St,intersection,"Ettie Street b, Oakland, CA",,,,
Telegraph Ave between 34th St and 36th St.,intersection,"Telegraph Avenue between 34th Street and 36th Street, Oakland, CA",,,,
West between 35th and 36th St,intersection,"West between 35th and 36th Street, Oakland, CA",,,,
19th Ave between Solano Way and International Blvd,intersection,"19th Avenue between Solano Way and International Boulevard, Oakland, CA",,,,
19th Ave between E 12th St and Solano Way,intersection,"19th Avenue between E 12th Street and Solano Way, Oakland, CA",,,,
88th Ave between Birch St and Plymouth St,intersection,"88th Avenue between Birch Street and Plymouth Street, Oakland, CA",,,,
Northgate Ave between 23rd St and 24th St,intersection,"Northgate Avenue between 23rd Street and 24th Street, Oakland, CA",,,,
W Grand Ave between Northgate Ave and Telegraph Ave,intersection,"West Grand Avenue between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,
W Grand Ave between MLK to Northgate,intersection,"West Grand Avenue between Martin Luther King Jr Boulevard to Northgate, Oakland, CA",,,,
Sycamore between Northgate Ave and Telegraph Ave,intersection,"Sycamore between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,
San Leandro St between 41st Ave & 42nd Ave,intersection,"San Leandro Street between 41st Avenue & 42nd Avenue, Oakland, CA",,,,
San Leandro St between 40th Ave & 41st Ave,intersection,"San Leandro Street between 40th Avenue & 41st Avenue, Oakland, CA",,,,
45th Ave between Foothill Blvd and Bond St,intersection,"45th Avenue between Foothill Boulevard and Bond Street, Oakland, CA",,,,
45th Avenue between Bancroft Avenue and Bond Street,intersection,"45th Avenue between Bancroft Avenue and Bond Street, Oakland, CA",,,,
Bond St between High St and 42nd Avenue,intersection,"Bond Street between High Street and 42nd Avenue, Oakland, CA",,,,
Bond St between High St and 45th Ave,intersection,"Bond Street between High Street and 45th Avenue, Oakland, CA",,,,
Bond St between 45th Ave and 46th Ave,intersection,"Bond Street between 45th Avenue and 46th Avenue, Oakland, CA",,,,
Foothill blvd between 45th and 46th Ave,intersection,"Foothill blvd between 45th and 46th Avenue, Oakland, CA",,,,
Northgate Ave between 24th St & 25th St,intersection,"Northgate Avenue between 24th Street & 25th Street, Oakland, CA",,,,
46th Ave between Bancroft Ave and Bond St,intersection,"46th Avenue between Bancroft Avenue and Bond Street, Oakland, CA",,,,
46th Ave between Bond St and Foothill Blvd,intersection,"46th Avenue between Bond Street and Foothill Boulevard, Oakland, CA",,,,
Northgate Ave between 25th St & Sycamore St,intersection,"Northgate Avenue between 25th Street & Sycamore Street, Oakland, CA",,,,
Northgate Ave between Sycamore St & 27th St,intersection,"Northgate Avenue between Sycamore Street & 27th Street, Oakland, CA",,,,
Wood St between W Grand Ave and 24th St,intersection,"Wood Street between West Grand Avenue and 24th Street, Oakland, CA",,,,
Wood St between 24th St and 26th St,intersection,"Wood Street between 24th Street and 26th Street, Oakland, CA",,,,
Wood St between 26th St and 32nd St,intersection,"Wood Street between 26th Street and 32nd Street, Oakland, CA",,,,
27th St between Northgate Ave and Telegraph Ave,intersection,"27th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,
24th St between Northgate Ave and Telegraph Ave,intersection,"24th Street between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,
25th st between Northgate Ave and Telegraph Ave,intersection,"25th st between Northgate Avenue and Telegraph Avenue, Oakland, CA",,,,
Kirkham St between 5th & 7th St.,intersection,"Kirkham Street between 5th & 7th Street, Oakland, CA",,,,
Union St between 5th St and 7th St,intersection,"Union Street between 5th Street and 7th Street, Oakland, CA",,,,
Goss St between Pine St and Wood St,intersection,"Goss Street between Pine Street and Wood Street, Oakland, CA",,,,
Wood St between 7th St and Goss St,intersection,"Wood Street between 7th Street and Goss Street, Oakland, CA",,,,
4th st between Webster St & Franklin St,intersection,"4th st between Webster Street & Franklin Street, Oakland, CA",,,,
4th st between Harrison st and Webster St,intersection,"4th st between Harrison st and Webster Street, Oakland, CA",,,,
Embarcadero West between Clay St and Washington St,intersection,"Embarcadero West between Clay Street and Washington Street, Oakland, CA",,,,
Embarcadero West between Washington St and Broadway,intersection,"Embarcadero West between Washington Street and Broadway, Oakland, CA",,,,
3rd St between Broadway and Franklin St,intersection,"3rd Street between Broadway and Franklin Street, Oakland, CA",,,,
Embarcadero West between Clay St and Franklin St,intersection,"Embarcadero West between Clay Street and Franklin Street, Oakland, CA",,,,
17th Ave between E 12th St and Solano Way,intersection,"17th Avenue between E 12th Street and Solano Way, Oakland, CA",,,,
17th Ave between Solano Way and International Blvd,intersection,"17th Avenue between Solano Way and International Boulevard, Oakland, CA",,,,
Milton St between Market St and San Pablo Ave,intersection,"Milton Street between Market Street and San Pablo Avenue, Oakland, CA",,,,
San Pablo Ave between 27th St and Milton St,intersection,"San Pablo Avenue between 27th Street and Milton Street, Oakland, CA",,,,
San Pablo Ave between Milton St & Mead Ave,intersection,"San Pablo Avenue between Milton Street & Mead Avenue, Oakland, CA",,,,
Castro St between 12th St & 14th St,intersection,"Castro Street between 12th Street & 14th Street, Oakland, CA",,,,
Castro St between 14th St & 15th St,intersection,"Castro Street between 14th Street & 15th Street, Oakland, CA",,,,
Clay st between Embarcadero West and 2nd St,intersection,"Clay st between Embarcadero West and 2nd Street, Oakland, CA",,,,
Clay st between 2nd St and 3rd St,intersection,"Clay st between 2nd Street and 3rd Street, Oakland, CA",,,,
Clay st between 3rd St and 4th St,intersection,"Clay st between 3rd Street and 4th Street, Oakland, CA",,,,
Washington St between 2nd St & Embarcadero West,intersection,"Washington Street between 2nd Street & Embarcadero West, Oakland, CA",,,,
Washington St between 2nd St & 3rd St,intersection,"Washington Street between 2nd Street & 3rd Street, Oakland, CA",,,,
Washington St between 3rd St & 4th St,intersection,"Washington Street between 3rd Street & 4th Street, Oakland, CA",,,,
Broadway between 4th St and 5th St,intersection,"Broadway between 4th Street and 5th Street, Oakland, CA",,,,
San Leandro St between 42nd Ave and High St,intersection,"San Leandro Street between 42nd Avenue and High Street, Oakland, CA",,,,
Broadway between 5th and 6th,intersection,"Broadway between 5th and 6th, Oakland, CA",,,,
2nd St between Washington St & Broadway,intersection,"2nd Street between Washington Street & Broadway, Oakland, CA",,,,
7th St between Willow St and Wood St,intersection,"7th Street between Willow Street and Wood Street, Oakland, CA",,,,
5th St. between Mandela Pkwy & Union,intersection,"5th Street. between Mandela Parkway & Union, Oakland, CA",,,,
83rd Ave between Holly St and International Blvd,intersection,"83rd Avenue between Holly Street and International Boulevard, Oakland, CA",,,,
84th Ave between Holly St and International Blvd,intersection,"84th Avenue between Holly Street and International Boulevard, Oakland, CA",,,,
85th Ave between Holly St and International Blvd,intersection,"85th Avenue between Holly Street and International Boulevard, Oakland, CA",,,,
86th Ave between International and Holly St,intersection,"86th Avenue between International Boulevard and Holly Street, Oakland, CA",,,,
87th Ave between Holly St and International Blvd,intersection,"87th Avenue between Holly Street and International Boulevard, Oakland, CA",,,,
Broadway between Embarcadero West and 2nd St,intersection,"Broadway between Embarcadero West and 2nd Street, Oakland, CA",,,,
Broadway between 2nd St and 3rd St,intersection,"Broadway between 2nd Street and 3rd Street, Oakland, CA",,,,
Broadway between 3rd St & 4th St,intersection,"Broadway between 3rd Street & 4th Street, Oakland, CA",,,,
Franklin st between Embarcadero West and 2nd St,intersection,"Franklin st between Embarcadero West and 2nd Street, Oakland, CA",,,,
Franklin st between 2nd St and 3rd St,intersection,"Franklin st between 2nd Street and 3rd Street, Oakland, CA",,,,
Franklin st between 3rd St and 4th St,intersection,"Franklin st between 3rd Street and 4th Street, Oakland, CA",,,,
4th St between Clay St and Washington St,intersection,"4th Street between Clay Street and Washington Street, Oakland, CA",,,,
4th St between Washington St & Broadway,intersection,"4th Street between Washington Street & Broadway, Oakland, CA",,,,
4th St between Broadway and Franklin St,intersection,"4th Street between Broadway and Franklin Street, Oakland, CA",,,,
3rd St between Clay St and Washington St,intersection,"3rd Street between Clay Street and Washington Street, Oakland, CA",,,,
21st St between Union St and Poplar St,intersection,"21st Street between Union Street and Poplar Street, Oakland, CA",,,,
2nd St between Broadway and Franklin St,intersection,"2nd Street between Broadway and Franklin Street, Oakland, CA",,,,
2ndSt between Clay St and Washington St,intersection,"2ndSt between Clay Street and Washington Street, Oakland, CA",,,,
Brush St between 20th St and 21st St,intersection,"Brush Street between 20th Street and 21st Street, Oakland, CA",,,,
Harrison St and Grand Ave,intersection,"Harrison Street and Grand Avenue, Oakland, CA",,,,
67th Ave between Foothill Blvd and Bancroft Ave,intersection,"67th Avenue between Foothill Boulevard and Bancroft Avenue, Oakland, CA",,,,
San Leandro St between Prune St and 100th Ave,intersection,"San Leandro Street between Prune Street and 100th Avenue, Oakland, CA",,,,
98th Ave between Edes Ave and Walter Ave,intersection,"98th Avenue between Edes Avenue and Walter Avenue, Oakland, CA",,,,
98th Ave between Walter Ave and Railroad Ave,intersection,"98th Avenue between Walter Avenue and Railroad Avenue, Oakland, CA",,,,
Tyler st between Railroad Ave and Walter Ave,intersection,"Tyler st between Railroad Avenue and Walter Avenue, Oakland, CA",,,,
San Leandro St between 92nd Ave & 98th Ave,intersection,"San Leandro Street between 92nd Avenue & 98th Avenue, Oakland, CA",,,,
Pearmain St between 98th Ave and Prune St,intersection,"Pearmain Street between 98th Avenue and Prune Street, Oakland, CA",,,,
Pearmain St between 100th Ave and Prune St,intersection,"Pearmain Street between 100th Avenue and Prune Street, Oakland, CA",,,,
Pearmain St between Douglas Ave and 100th Ave,intersection,"Pearmain Street between Douglas Avenue and 100th Avenue, Oakland, CA",,,,
55th Ave between Hilton St & Foothill Blvd,intersection,"55th Avenue between Hilton Street & Foothill Boulevard, Oakland, CA",,,,
Pearmain St between Douglas Ave and Stone St,intersection,"Pearmain Street between Douglas Avenue and Stone Street, Oakland, CA",,,,
Pearmain St between Tartarian St and Apple St,intersection,"Pearmain Street between Tartarian Street and Apple Street, Oakland, CA",,,,
Pearmain St between Apple St and Gravenstein St,intersection,"Pearmain Street between Apple Street and Gravenstein Street, Oakland, CA",,,,
Pearmain St between Gravenstein St and 105th Ave,intersection,"Pearmain Street between Gravenstein Street and 105th Avenue, Oakland, CA",,,,
Stone St between San Leandro St and Pippin St,intersection,"Stone Street between San Leandro Street and Pippin Street, Oakland, CA",,,,
Stone St between Pippin St and Pearmain St,intersection,"Stone Street between Pippin Street and Pearmain Street, Oakland, CA",,,,
100th Ave between San Leandro St and Pippin St,intersection,"100th Avenue between San Leandro Street and Pippin Street, Oakland, CA",,,,
100th Ave between Pippin St and Pearmain St,intersection,"100th Avenue between Pippin Street and Pearmain Street, Oakland, CA",,,,
Prune St between San Leandro St and Pippin St,intersection,"Prune Street between San Leandro Street and Pippin Street, Oakland, CA",,,,
Pearmain St between Stone St and Tartarian St,intersection,"Pearmain Street between Stone Street and Tartarian Street, Oakland, CA",,,,
55th Ave between Bancroft Ave & Hilton St,intersection,"55th Avenue between Bancroft Avenue & Hilton Street, Oakland, CA",,,,
Bancroft between Cole St and 55th St,intersection,"Bancroft between Cole Street and 55th Street, Oakland, CA",,,,
Bancroft Ave between 55th Ave and Hilton St,intersection,"Bancroft Avenue between 55th Avenue and Hilton Street, Oakland, CA",,,,
San Pablo Ave between 23rd St and W Grand Ave,intersection,"San Pablo Avenue between 23rd Street and West Grand Avenue, Oakland, CA",,,,
San Pablo Ave between W Grand Ave & MLK,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,
MLK between San Pablo Ave & W Grand Ave,intersection,"Martin Luther King Jr Boulevard between San Pablo Avenue & West Grand Avenue, Oakland, CA",,,,
MLk between W Grand Ave & 23rd,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,
W Grand Ave between San Pablo Ave & MLK,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,
5th ST/5th ST and Washington,intersection,"5th ST, Oakland, CA",,,,
37th Ave between E. 9th St and San Leandro St,intersection,"37th Avenue between East 9th Street and San Leandro Street, Oakland, CA",,,,
Washington St between 4th St and 5th St,intersection,"Washington Street between 4th Street and 5th Street, Oakland, CA",,,,
San Pablo Ave between 59th St & 60th St,intersection,"San Pablo Avenue between 59th Street & 60th Street, Oakland, CA",,,,
59th St between Herzog St and San Pablo Ave,intersection,"59th Street between Herzog Street and San Pablo Avenue, Oakland, CA",,,,
Median at Peralta St and 32nd St,intersection,"Median at Peralta Street and 32nd Street, Oakland, CA",,,,
36th Ave between Foothill Blvd and Harper St,intersection,"36th Avenue between Foothill Boulevard and Harper Street, Oakland, CA",,,,
Foothill Blvd between Crosby Ave and Harrington Ave,intersection,"Foothill Boulevard between Crosby Avenue and Harrington Avenue, Oakland, CA",,,,
Foothill Blvd between Crosby Ave & 36th Ave,intersection,"Foothill Boulevard between Crosby Avenue & 36th Avenue, Oakland, CA",,,,
Crosby Ave between Foothill Blvd and Harper St,intersection,"Crosby Avenue between Foothill Boulevard and Harper Street, Oakland, CA",,,,
